,GA-INV,GA-INS,GA-SWP,GA-INB,PSO-INV,PSO-INS,PSO-SWP,PSO-INB,FTA-INV,FTA-INS,FTA-SWP,FTA-INB,SA-INV,SA-INS,SA-SWP,SA-INB,SS-INV,SS-INS,SS-SWP,SS-INB,SS-ML,SA-ML,FTA-ML,GA-ML,PSO-ML,NEH,NEH-B
20_80_1,10.3,10.31,10.28,10.28,10.44,10.33,10.43,10.44,10.3,10.34,10.23,10.33,10.27,10.35,10.36,10.25,10.26,10.25,10.27,10.29,10.35,10.3,10.22,10.25,10.48,5.72,4.19
20_80_2,10.28,10.27,10.27,10.28,10.43,10.38,10.47,10.45,10.4,10.38,10.39,10.42,10.3,10.28,10.35,10.3,10.24,10.31,10.31,10.27,10.47,10.27,10.28,10.21,10.39,5.39,4.16
20_80_3,10.25,10.22,10.21,10.23,10.46,10.41,10.42,10.47,10.36,10.4,10.32,10.41,10.33,10.2,10.36,10.24,10.34,10.35,10.33,10.37,10.41,10.23,10.33,10.25,10.5,5.33,4.19
20_80_4,10.3,10.26,10.3,10.28,10.43,10.41,10.44,10.47,10.36,10.38,10.38,10.45,10.32,10.32,10.35,10.36,10.37,10.33,10.31,10.3,10.49,10.32,10.26,10.26,10.45,5.32,4.17
20_80_5,10.27,10.29,10.21,10.29,10.43,10.44,10.39,10.47,10.39,10.35,10.37,10.38,10.21,10.29,10.32,10.31,10.29,10.29,10.36,10.39,10.42,10.34,10.3,10.24,10.48,5.28,4.15
20_80_6,10.27,10.26,10.29,10.29,10.36,10.4,10.43,10.46,10.38,10.4,10.38,10.47,10.36,10.27,10.27,10.31,10.35,10.3,10.4,10.31,10.43,10.28,10.28,10.22,10.41,5.34,4.21
20_80_7,10.24,10.24,10.32,10.29,10.43,10.47,10.34,10.44,10.38,10.39,10.36,10.38,10.31,10.33,10.31,10.31,10.31,10.26,10.3,10.35,10.43,10.23,10.25,10.25,10.43,5.32,4.18
20_80_8,10.26,10.26,10.32,10.27,10.4,10.44,10.37,10.42,10.34,10.36,10.35,10.38,10.37,10.26,10.38,10.29,10.44,10.31,10.32,10.3,10.44,10.25,10.4,10.23,10.43,5.34,4.16
20_80_9,10.34,10.25,10.28,10.28,10.41,10.46,10.43,10.44,10.34,10.39,10.41,10.37,10.31,10.31,10.35,10.28,10.23,10.36,10.41,10.29,10.37,10.31,10.27,10.24,10.44,5.37,4.18
20_80_10,10.27,10.22,10.29,10.31,10.46,10.39,10.42,10.45,10.36,10.39,10.37,10.44,10.26,10.32,10.32,10.25,10.36,10.38,10.41,10.42,10.51,10.32,10.29,10.19,10.44,5.32,4.19
50_50_1,10.29,10.28,10.22,10.29,10.51,10.52,10.42,10.52,10.31,10.43,10.35,10.42,10.32,10.3,10.32,10.28,10.31,10.28,10.5,10.3,10.45,10.28,10.3,10.25,10.48,5.31,4.45
50_50_2,10.25,10.26,10.26,10.33,10.47,10.5,10.43,10.47,10.37,10.36,10.42,10.43,10.31,10.29,10.23,10.35,10.4,10.36,10.29,10.28,10.39,10.28,10.26,10.32,10.47,5.27,4.49
50_50_3,10.28,10.24,10.29,10.34,10.48,10.48,10.43,10.48,10.39,10.35,10.37,10.39,10.26,10.28,10.37,10.43,10.33,10.23,10.26,10.18,10.54,10.28,10.31,10.26,10.48,5.18,4.49
50_50_4,10.25,10.24,10.27,10.32,10.48,10.49,10.46,10.52,10.35,10.39,10.39,10.36,10.42,10.27,10.38,10.27,10.33,10.23,10.37,10.29,10.45,10.24,10.27,10.35,10.52,5.27,4.48
50_50_5,10.32,10.28,10.25,10.32,10.45,10.55,10.45,10.49,10.33,10.45,10.37,10.42,10.25,10.23,10.31,10.23,10.29,10.32,10.35,10.22,10.48,10.34,10.28,10.27,10.5,5.25,4.48
50_50_6,10.32,10.3,10.28,10.33,10.47,10.46,10.47,10.47,10.34,10.42,10.4,10.48,10.44,10.31,10.32,10.25,10.28,10.35,10.34,10.29,10.51,10.31,10.25,10.23,10.53,5.2,4.52
50_50_7,10.29,10.29,10.33,10.26,10.47,10.48,10.48,10.51,10.35,10.36,10.43,10.4,10.26,10.34,10.39,10.23,10.38,10.35,10.39,10.27,10.52,10.31,10.35,10.19,10.51,5.26,4.48
50_50_8,10.26,10.34,10.26,10.3,10.46,10.42,10.44,10.5,10.39,10.41,10.4,10.42,10.31,10.26,10.36,10.31,10.36,10.28,10.35,10.25,10.49,10.33,10.29,10.21,10.54,5.22,4.47
50_50_9,10.28,10.35,10.36,10.26,10.46,10.51,10.49,10.49,10.36,10.41,10.34,10.36,10.37,10.38,10.35,10.31,10.3,10.34,10.33,10.32,10.52,10.23,10.31,10.19,10.53,5.33,4.5
50_50_10,10.29,10.29,10.27,10.34,10.46,10.45,10.45,10.47,10.41,10.4,10.33,10.39,10.44,10.31,10.44,10.34,10.29,10.28,10.36,10.25,10.48,10.21,10.23,10.2,10.52,5.34,4.46
80_20_1,10.35,10.29,10.25,10.26,10.38,10.46,10.39,10.4,10.38,10.43,10.36,10.36,10.36,10.31,10.48,10.32,10.37,10.36,10.32,10.31,10.42,10.26,10.29,10.21,10.45,5.34,4.16
80_20_2,10.28,10.32,10.33,10.26,10.44,10.42,10.44,10.46,10.41,10.41,10.35,10.45,10.29,10.34,10.36,10.39,10.31,10.34,10.41,10.39,10.49,10.33,10.35,10.27,10.43,5.33,4.11
80_20_3,10.32,10.29,10.32,10.24,10.42,10.43,10.41,10.41,10.37,10.34,10.32,10.3,10.41,10.32,10.4,10.4,10.43,10.37,10.4,10.37,10.45,10.28,10.29,10.27,10.46,5.27,4.12
