,FTA-INS,FTA-INB,FTA-INV,FTA-SWP,FTA-ML,SA-INS,SA-INB,SA-INV,SA-SWP,SA-ML,SS-INS,SS-INB,SS-INV,SS-SWP,SS-ML,NEH,NEH-B
100_400_1,31.177,31.322,31.13766667,31.14133333,31.57433333,29.871,32.31766667,29.794,30.141,31.654,526.143,524.632,528.0766667,525.1466667,526.463,281.957,238.5096667
100_400_2,30.93433333,30.43566667,31.188,31.15,32.644,29.967,32.43033333,30.218,30.23766667,32.59933333,522.6613333,525.1033333,525.5733333,524.289,525.999,283.8026667,244.6373333
100_400_3,31.96833333,31.535,31.47566667,31.316,32.90766667,30.81966667,31.60233333,31.41966667,30.007,31.731,522.3963333,524.672,527.437,527.529,526.652,283.4166667,244.9536667
100_400_4,31.87066667,31.74066667,31.51733333,31.84933333,31.99766667,30.21266667,31.71566667,29.97133333,30.444,31.69366667,526.0606667,524.9813333,523.6176667,524.811,527.2326667,283.1316667,245.2216667
100_400_5,31.54633333,31.585,31.64433333,31.58666667,33.01266667,29.74033333,33.519,30.23933333,30.62666667,32.17833333,524.1086667,527.4576667,527.9136667,524.065,527.0313333,283.248,246.232
100_400_6,31.51933333,30.46533333,30.50833333,30.44433333,32.519,30.19633333,32.001,29.981,30.29266667,31.738,525.2913333,525.2736667,527.1293333,524.416,527.0196667,283.4756667,239.4713333
100_400_7,31.121,31.38133333,31.35966667,31.26033333,32.10366667,29.661,31.71566667,31.15733333,30.677,32.58233333,524.1763333,525.401,525.1763333,524.782,529.064,283.628,244.523
100_400_8,31.15066667,31.001,31.07133333,31.029,31.57433333,30.40866667,32.63566667,30.109,30.04133333,33.08566667,524.2526667,524.523,524.933,524.67,529.561,284.5796667,241.2343333
100_400_9,31.22866667,31.18466667,30.98866667,30.976,31.67533333,30.44033333,31.92866667,29.88133333,30.16733333,31.75666667,523.2973333,525.643,524.5853333,525.5406667,526.1616667,283.9753333,241.214
100_400_10,31.82333333,31.787,31.70633333,32.14033333,31.61133333,30.09166667,32.25466667,30.42366667,30.23266667,32.35633333,522.7596667,523.9406667,525.4773333,522.1896667,527.9163333,282.629,251.2673333
250_250_1,30.91466667,30.97233333,31.18533333,30.641,32.58833333,30.308,30.13,30.27733333,29.98366667,31.527,533.759,532.631,533.337,534.3416667,535.293,285.0083333,242.6556667
250_250_2,31.84,31.649,31.80833333,32.11233333,31.438,30.214,30.11633333,30.33866667,29.83666667,33.18966667,532.685,534.395,532.506,533.521,534.019,284.1023333,248.7343333
250_250_3,31.12466667,31.59633333,31.83066667,31.528,32.102,29.94233333,30.01,30.49066667,30.678,32.34566667,532.881,533.3746667,533.811,532.5913333,534.3973333,283.977,242.7093333
250_250_4,30.457,31.23366667,31.059,30.77566667,33.12466667,30.344,30.295,29.89633333,30.921,31.73833333,534.1406667,534.795,535.891,534.863,534.2783333,282.5463333,244.121
250_250_5,31.63766667,32.29633333,31.53466667,31.56633333,33.642,30.07566667,30.896,30.453,30.43533333,33.518,533.888,533.1616667,534.4486667,533.3916667,535.8,283.846,252.4333333
250_250_6,31.02433333,31.12833333,30.68066667,30.815,32.474,30.49566667,30.55,30.52166667,29.98666667,31.54533333,533.1506667,536.5543333,531.8266667,533.8513333,535.8823333,285.3223333,242.4893333
250_250_7,31.972,31.69333333,31.654,31.649,31.55366667,30.532,30.665,29.91233333,30.14733333,31.98133333,531.4553333,530.413,537.109,534.217,536.3566667,284.9573333,252.6513333
250_250_8,32.25766667,33.60666667,32.30966667,33.37566667,31.62733333,30.404,29.97333333,30.41266667,29.734,32.16633333,537.7873333,535.489,533.264,533.0003333,537.0593333,284.1813333,248.3916667
250_250_9,34.939,32.24033333,32.018,32.53933333,31.76166667,30.46333333,30.43866667,30.49233333,30.612,32.42033333,530.9343333,532.8646667,533.6933333,534.007,536.4373333,283.9013333,248.9656667
250_250_10,31.349,31.494,31.49866667,31.44333333,31.97033333,30.23633333,30.28633333,29.91733333,30.03633333,31.62166667,532.3446667,530.6263333,533.269,533.009,536.5006667,284.497,250.821
400_100_1,30.56366667,31.44866667,30.72666667,30.41966667,31.568,30.218,30.20833333,29.93166667,30.22066667,31.955,522.7966667,523.2403333,522.4863333,526.3623333,520.1166667,291.637,234.228
400_100_2,34.232,34.246,34.50733333,34.10666667,31.48,30.48866667,30.26766667,30.418,30.34633333,31.616,519.825,522.1083333,524.4376667,523.4743333,519.5836667,291.759,257.414
400_100_3,30.648,30.19933333,30.918,30.72833333,32.989,30.471,30.89666667,29.852,30.078,31.81533333,523.7253333,523.2876667,525.1473333,522.9203333,528.1366667,291.3496667,237.2713333
400_100_4,30.99133333,30.02833333,30.30633333,30.363,32.00733333,30.423,30.06766667,30.30666667,30.18633333,32.24466667,525.3523333,524.3993333,522.2376667,522.7916667,526.3353333,290.807,238.3293333
400_100_5,31.14066667,33.014,31.227,31.66,32.239,30.231,30.19066667,29.77766667,30.26766667,31.50066667,524.327,526.4656667,522.4546667,525.8116667,528.291,291.3643333,251.273
400_100_6,31.41366667,30.93,30.46733333,30.622,33.601,29.88233333,30.15333333,30.53733333,30.09733333,31.83933333,526.7066667,523.534,525.419,524.0906667,525.5633333,286.5053333,237.091
400_100_7,31.45866667,31.457,32.31166667,31.65866667,31.843,30.00133333,30.159,30.864,30.60066667,31.48433333,524.8543333,523.8853333,521.5866667,523.6586667,527.449,292.562,249.527
400_100_8,33.82066667,34.01366667,34.06133333,33.724,31.463,30.50533333,29.843,31.33,30.52333333,32.386,528.6213333,522.707,526.075,524.0363333,525.8016667,291.4653333,261.3533333
400_100_9,34.589,34.683,33.981,34.49433333,31.99533333,29.856,30.08866667,30.852,29.881,31.47566667,523.206,525.0963333,523.5036667,524.3883333,524.8186667,291.0133333,257.3453333
400_100_10,34.146,33.77766667,33.16133333,33.386,32.16266667,30.14933333,30.33066667,30.299,30.54033333,31.49266667,524.2693333,524.5073333,527.2833333,527.608,526.7353333,290.655,245.7996667
average,31.82864445,31.80485556,31.66147778,31.68338889,32.17501111,30.22166667,30.9229,30.33584444,30.266,32.04128889,527.2619111,527.5054556,527.9902222,527.6458222,529.3985333,286.1767,246.0289667
