,GA-INV,GA-INS,GA-SWP,GA-INB,PSO-INV,PSO-INS,PSO-SWP,PSO-INB,FTA-INV,FTA-INS,FTA-SWP,FTA-INB,SA-INV,SA-INS,SA-SWP,SA-INB,SS-INV,SS-INS,SS-SWP,SS-INB,SS-ML,SA-ML,FTA-ML,GA-ML,PSO-ML,NEH,NEH-B,MIP
1_1_1,0.22,0.21,0.20,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.26,0.25,0.00,0.02,1.17
1_1_2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.21,0.00,0.02,1.05
1_1_3,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.22,0.00,0.02,0.95
1_1_4,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.00,0.02,0.98
1_1_5,0.21,0.20,0.20,0.20,0.21,0.21,0.22,0.21,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.00,0.02,1.08
2_2_1,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.40,0.40,0.40,0.41,0.40,0.41,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.42,0.02,0.03,3006.41
2_2_2,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.01,0.02,3008.71
2_2_3,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.01,0.02,3008.32
2_2_4,0.41,0.41,0.41,0.40,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.01,0.02,3008.14
2_2_5,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.41,0.40,0.41,0.41,0.41,0.41,0.01,0.02,3009.17
3_3_1,0.61,0.61,0.60,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.60,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.60,0.60,0.02,0.09,3026.56
3_3_2,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.60,0.61,0.61,0.61,0.61,0.60,0.61,0.60,0.60,0.60,0.61,0.02,0.10,3006.07
3_3_3,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.60,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.02,0.10,3014.74
3_3_4,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.60,0.61,0.60,0.61,0.61,0.61,0.60,0.61,0.61,0.61,0.60,0.60,0.61,0.02,0.09,3006.01
3_3_5,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.61,0.60,0.60,0.60,0.60,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.60,0.61,0.02,0.10,3053.47
4_4_1,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.80,0.80,0.80,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.80,0.81,0.81,0.81,0.81,0.03,0.09,3003.73
4_4_2,0.80,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.80,0.81,0.81,0.81,0.81,0.03,0.09,3007.04
4_4_3,0.80,0.81,0.80,0.80,0.81,0.81,0.81,0.81,0.81,0.80,0.81,0.80,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.80,0.81,0.81,0.81,0.81,0.03,0.09,3004.89
4_4_4,0.81,0.80,0.80,0.80,0.81,0.81,0.81,0.81,0.80,0.81,0.81,0.80,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.80,0.81,0.81,0.81,0.81,0.03,0.08,3004.06
4_4_5,0.80,0.80,0.80,0.81,0.81,0.80,0.81,0.81,0.80,0.80,0.80,0.81,0.80,0.80,0.80,0.81,0.81,0.81,0.81,0.81,0.80,0.81,0.81,0.80,0.81,0.03,0.08,3006.06
