,FTA-INV,SA-INV,SS-INV,PSO-INV,GA-INV,FTA-INS,SA-INS,SS-INS,PSO-INS,GA-INS,APS-FTA-SWP,APS-SA-SWP,APS-SS-SWP,APS-PSO-SWP,APS-GA-SWP,FTA-INB,SA-INB,SS-INB,PSO-INB,GA-INB,FTA-ML,SA-ML,SS-ML,PSO-ML,GA-ML,NEH,NEH-B
20_80_1,5.5213,5.4678,4.8570,4.9547,5.6052,2.4007,3.0828,4.1759,2.7133,4.8357,2.6063,1.9815,2.4570,2.5467,4.6302,5.1757,5.3601,5.0932,5.2793,5.9059,3.1157,2.6832,4.3468,3.3095,5.5423,8.0606,6.1435
20_80_2,3.8429,4.0377,3.3156,3.2584,3.8178,2.1903,2.4439,2.9515,2.0496,3.8872,2.0003,1.7631,2.0303,1.7642,3.4124,3.3842,3.6240,2.9235,3.2641,4.4028,2.2156,2.3629,2.8004,2.2363,3.6656,4.9326,4.2775
20_80_3,5.8537,6.0280,5.3984,5.4786,6.3585,3.6148,4.2217,4.8901,2.8405,5.9650,4.0195,3.2384,3.4422,2.3180,5.1089,5.3760,5.6975,5.2480,5.5900,6.4122,3.8935,3.5337,4.7771,3.7774,5.5204,9.0417,7.4500
20_80_4,4.1178,4.4300,3.7479,3.4408,4.2062,2.3103,2.3798,3.1085,2.2228,4.2444,1.9958,2.0232,2.0844,2.0569,3.5166,3.3566,3.8128,3.3558,3.5267,4.6426,2.4725,2.4264,2.9404,2.6254,4.0750,4.0931,5.3348
20_80_5,5.6860,5.8591,5.0763,4.8174,5.7097,2.8108,3.7892,4.3432,2.7084,5.6720,2.7464,3.0431,2.7510,2.4170,4.5760,4.5487,4.7572,4.2094,4.7809,5.8864,2.8367,3.1413,3.7388,2.9805,5.2183,8.9937,7.0894
20_80_6,5.1365,5.4672,4.5083,4.7606,5.6374,3.5675,3.1589,3.9916,3.1399,4.9365,2.6424,3.1344,2.4825,2.7991,3.7532,4.6611,4.8642,4.6408,5.6790,6.0458,3.6497,2.9992,3.8012,3.1353,5.6328,4.5510,5.6091
20_80_7,5.3799,5.4114,4.2288,4.9068,5.1720,2.6968,3.3690,3.7924,2.8934,4.8805,2.4365,2.4324,2.6041,2.4192,4.6257,5.3796,5.3475,4.8185,5.0586,5.8098,2.5605,3.5162,3.5981,3.4746,4.7057,4.9043,6.2896
20_80_8,4.6283,4.5414,3.9126,4.0353,4.7731,2.1511,2.5916,3.3954,2.2350,3.9634,1.8773,2.0082,2.0981,1.6331,3.7734,5.0160,4.9445,4.6458,4.7579,5.4583,2.6257,2.7982,3.5963,2.3469,4.2900,8.2084,5.2309
20_80_9,6.2715,6.2752,5.7839,5.9879,6.5851,3.5437,4.0572,4.9606,3.4389,6.3098,3.2644,2.9678,3.5212,3.0540,5.3855,5.7441,5.8860,5.4716,5.9223,6.5536,4.1976,4.2567,5.3318,4.1407,6.3016,4.9483,6.3663
20_80_10,5.6461,4.8969,4.7735,4.9885,5.4590,2.1403,2.9480,4.4324,2.6976,5.3970,2.3241,2.9361,2.5910,2.0654,4.6939,4.8085,4.8701,4.6265,5.3586,5.6012,3.3494,3.0732,4.2160,3.0348,5.2924,7.9922,6.3099
50_50_1,3.7929,3.3910,3.4844,3.3211,4.2780,1.8799,1.7874,2.8086,1.7014,3.8862,1.7456,1.2575,1.7300,1.1672,2.8164,3.3043,3.2265,2.5765,3.4445,4.1399,2.1520,1.6314,2.3687,2.0526,3.6774,3.4712,3.5375
50_50_2,3.8281,3.7132,3.5577,3.0498,4.0373,2.4848,1.8300,2.8240,2.0268,3.6988,1.9772,1.5261,1.7252,1.5131,2.8798,3.4642,3.4346,2.8154,3.2345,3.9793,2.3288,1.4555,2.2811,1.6831,3.5059,2.9860,4.4791
50_50_3,3.8894,3.6394,3.6351,2.8106,4.0908,2.2724,2.0938,3.0664,2.1858,3.9978,2.1736,1.8641,2.0753,1.5973,2.7856,2.8960,2.9489,2.2054,2.6954,3.6627,2.6318,1.7826,2.6579,1.7223,3.4452,2.7318,3.7799
50_50_4,3.6603,3.5166,3.3985,3.0378,3.9464,2.5146,2.5368,3.1071,2.1621,3.9340,2.0473,1.9387,2.1043,1.9429,3.3911,3.0437,3.0631,2.5134,2.8995,3.3526,2.5667,1.8026,2.4620,1.8918,3.4326,2.2547,3.6155
50_50_5,3.3252,3.3872,3.2555,2.8587,3.6645,2.3024,1.8387,2.5680,1.9532,3.6716,1.7885,1.5890,1.5903,0.9968,2.5227,3.3944,3.7006,3.0021,3.4128,3.7235,2.2914,2.0702,2.4669,2.1738,3.2147,2.1937,3.5140
50_50_6,2.9818,2.5001,2.6331,2.6091,3.3561,1.9107,1.6692,2.0616,1.6374,2.7281,1.5514,1.2094,1.4498,1.3888,2.4801,2.0039,2.0204,1.5127,1.8416,2.6716,1.8195,1.5417,1.7646,1.3402,2.6121,1.5381,2.4456
50_50_7,3.9663,3.1386,3.2854,2.8604,3.6589,2.4077,2.3675,2.7841,2.3035,3.5842,2.1695,1.7491,1.9401,1.2997,3.1187,1.8020,1.8947,1.5636,2.1017,3.1701,2.4077,1.9183,1.9947,1.9598,3.1907,2.5102,2.4367
50_50_8,3.5030,3.6840,3.5248,2.9293,4.0274,1.9337,2.3324,2.7236,1.5972,4.0477,1.7308,1.1980,1.7249,1.2680,2.8410,3.3515,3.2769,2.7660,3.1390,3.6419,2.2604,1.4250,2.2224,2.0069,3.3030,2.7214,4.3481
50_50_9,3.6710,3.7836,3.5527,3.3586,4.2960,2.4553,2.4467,2.7708,2.2570,3.9015,2.1494,1.7615,2.0271,1.4512,3.1457,3.7666,3.9261,3.4185,3.6833,4.1425,2.6926,1.8611,2.6551,2.0435,3.9906,2.9710,4.5626
50_50_10,3.6761,3.7677,3.2774,2.6206,3.6671,2.5950,2.3921,2.7102,2.1092,3.3705,1.9924,1.8113,1.8863,1.5200,3.0003,2.5452,2.3560,2.0746,2.2568,3.2951,2.3488,2.0166,2.2120,1.7443,3.4683,2.4306,3.1599
