,FTA-INV,SA-INV,SS-INV,PSO-INV,GA-INV,FTA-INS,SA-INS,SS-INS,PSO-INS,GA-INS,FTA-SWP,SA-SWP,SS-SWP,PSO-SWP,GA-SWP,APS-FTA-INB,APS-SA-INB,APS-SS-INB,APS-PSO-INB,APS-GA-INB,FTA-ML,SA-ML,SS-ML,PSO-ML,GA-ML,NEH,NEH-B
80_320_1,7.7183,6.9315,8.2453,7.2221,9.7397,7.6829,5.8018,7.9983,6.8909,10.6982,6.6083,5.6425,5.7364,5.2231,7.2827,3.0063,2.6471,3.5732,2.7002,5.8785,4.5504,3.7386,5.2459,4.2858,9.2785,31.7192,7.0273
80_320_2,9.2123,8.0930,9.2138,7.9993,11.0001,8.2228,6.1959,8.7036,6.5867,11.4095,7.7232,7.4358,6.5546,6.8003,9.3319,3.6716,2.8264,4.2199,3.2631,6.8325,5.9975,4.8630,6.3153,5.4399,10.7868,21.0137,8.3869
80_320_3,9.7396,8.3053,9.8919,7.9194,11.8441,9.3183,7.1733,9.6347,8.1380,11.7832,8.3237,8.1978,7.2846,6.7407,9.8050,3.9922,2.9000,3.9128,3.0247,6.1904,5.9241,4.7855,6.0814,5.2566,11.3340,34.2893,8.2493
80_320_4,8.3633,7.1638,8.4670,6.8369,10.4420,7.5424,6.5066,8.1017,5.6944,10.8169,7.0234,6.5067,6.0778,6.0984,7.7576,2.9733,2.2383,3.3510,2.3427,5.2509,4.6183,4.2654,5.4607,3.6623,9.0102,31.8596,7.6674
80_320_5,9.2221,7.8807,9.5085,7.9857,10.8664,9.0353,7.5398,8.8469,7.5484,12.1473,7.7659,6.6222,6.8356,6.6348,9.0232,4.1061,3.2111,4.4134,3.0764,6.9911,5.3321,4.5977,6.1640,6.0571,9.8720,30.8893,8.7865
80_320_6,8.2688,7.6226,8.5710,7.4713,10.5931,8.4216,6.7188,8.4881,6.9095,11.1257,7.2086,6.9927,6.0938,6.0238,9.0044,3.2112,2.4054,3.5345,2.8345,6.3702,5.4579,4.8653,4.9735,4.1334,9.8565,28.7562,7.2284
80_320_7,6.8510,6.3572,7.5550,6.3855,9.7053,7.1554,5.5227,7.1806,5.4485,9.8035,6.1891,5.2356,5.1332,5.6362,7.0886,2.5703,2.4901,2.9914,2.5998,6.1586,4.6080,3.5376,4.9670,3.9618,8.3486,30.4954,6.5556
80_320_8,8.7873,8.0514,9.5638,7.8624,10.9916,9.4722,7.0879,8.7375,7.0157,11.3323,8.1584,6.9043,6.7289,7.0811,9.3218,4.5193,4.5593,4.8489,4.2157,6.8111,6.6569,5.7473,5.8333,5.4273,9.6300,32.0367,8.5112
80_320_9,7.8369,6.7343,8.3236,6.6830,10.4282,7.3269,5.7853,7.8381,5.9324,10.8083,7.0620,5.9754,5.7848,5.8544,9.2689,2.8734,2.5734,3.6568,2.4129,6.6830,4.9699,4.0415,5.4044,3.8984,7.8663,28.0604,7.4806
80_320_10,7.7078,6.9264,8.1567,6.9959,10.2654,7.8603,6.0347,7.8790,7.9145,10.8251,6.9745,6.6521,5.8277,5.9151,7.9443,3.3667,2.7487,3.2833,2.7233,6.5499,5.2076,3.6582,4.6395,4.8847,9.1888,30.2450,7.7940
200_200_1,6.2254,5.8655,5.9568,5.7211,7.2172,6.4163,6.0402,6.1022,6.1019,8.9636,5.2500,4.8996,4.2499,4.7121,6.6282,2.6721,2.4235,2.3943,2.4885,6.0966,3.7196,3.1676,3.3285,3.2038,6.4409,5.0136,5.4252
200_200_2,5.5041,4.9914,5.4781,5.3580,7.0440,6.0752,5.8923,5.6769,5.9799,8.6866,4.6876,4.2443,3.9005,4.5061,7.1863,2.9083,2.3595,2.3329,2.5667,6.0842,3.5989,2.9998,2.9079,3.0991,6.7621,11.7612,4.5670
200_200_3,6.1677,6.1063,6.1793,6.1764,7.7795,6.7537,6.4614,6.2684,6.7070,9.3248,5.5209,5.1592,4.8852,5.5691,8.1282,2.9019,2.7136,2.6465,2.7774,5.2148,3.9674,3.5398,3.7852,3.6191,7.0765,9.5381,5.3721
200_200_4,6.3182,5.9997,6.1620,5.8300,7.3671,6.7549,6.4969,6.6154,6.6630,9.3461,5.7161,5.2951,4.8347,5.2820,8.7675,3.0270,2.4802,2.6194,2.5437,4.0668,3.9358,3.2668,3.1867,3.3249,6.7411,10.8643,4.8502
200_200_5,5.8165,5.5483,5.5553,5.6430,6.6858,6.3817,6.1483,5.5968,5.9267,8.1108,5.0210,4.8389,4.0901,4.6597,7.0484,2.1481,1.7356,1.7829,1.7648,4.8599,3.0090,2.5080,2.6905,2.0199,6.0078,4.0397,3.8618
200_200_6,5.8002,5.8572,5.8168,5.9451,7.6908,6.5494,5.9004,6.0936,6.3724,9.1017,5.3522,5.0406,4.2735,4.5101,7.0730,2.7356,2.4394,2.0288,2.1219,3.8412,3.9140,3.0364,3.2168,2.6146,7.0965,11.1895,4.5711
200_200_7,7.2306,6.9625,7.0291,6.6552,8.6978,7.8695,7.2230,7.2020,7.4896,10.8618,6.3750,5.8396,5.4662,5.7071,9.6031,3.7482,3.3688,3.3773,3.3644,5.7607,4.3500,4.3970,4.2857,3.9770,7.2324,9.6467,5.3251
200_200_8,5.3661,5.0098,5.2138,5.5286,6.5525,5.9246,5.8095,5.1502,5.5912,8.2414,4.2558,4.3131,3.5900,3.7771,7.0419,1.9248,1.5840,1.6610,2.0498,4.6981,2.7261,2.9537,2.3898,2.4340,5.3899,8.1272,4.2892
200_200_9,5.6076,5.7658,5.7030,5.4563,6.8439,6.2883,5.9813,5.7533,5.6575,8.4662,5.1211,4.8110,4.0223,4.8506,6.9623,2.2366,2.0644,1.8073,2.1428,4.5925,3.2916,2.9974,2.6785,2.2534,5.7331,5.7829,3.7963
200_200_10,5.9156,5.4395,5.8089,5.7427,7.1508,6.7881,6.1489,6.2677,6.5292,8.6046,5.2608,4.6943,4.5725,5.1760,8.9218,2.8749,2.4787,2.2291,2.3952,6.2911,3.4214,3.9398,3.6837,2.9428,7.0668,10.0588,5.6575
320_80_1,5.0835,5.1802,4.9377,4.9446,5.7425,6.5572,5.9180,5.5768,5.9515,7.0558,4.9023,5.0857,4.0317,4.9748,5.4918,2.5745,2.5432,2.1283,2.3825,3.3191,4.0537,3.0567,3.2136,3.1290,5.3659,6.7271,2.5539
320_80_2,5.2953,4.8857,4.8066,4.8770,5.8378,6.4964,6.2078,5.5608,5.9649,6.8191,4.5936,4.2300,3.5736,4.4421,5.5042,2.5550,2.1995,1.9336,2.0807,3.5600,3.3870,2.9436,3.2443,3.1367,4.3949,0.0000,2.6038
