,FTA-INS,FTA-INB,FTA-INV,FTA-SWP,FTA-ML,SA-INS,SA-INB,SA-INV,SA-SWP,SA-ML,SS-INS,SS-INB,SS-INV,SS-SWP,SS-ML,NEH,NEH-B
100_400_1,0.068646985,0.020970081,0.055359686,0.055081156,0.041212446,0.063123523,0.019431186,0.052067853,0.053379568,0.039269215,0.056328102,0.025221524,0.042828726,0.049696457,0.034301569,0.164241013,0.043379327
100_400_2,0.09117805,0.032236962,0.07568138,0.081718091,0.064572146,0.087356879,0.029477955,0.07586035,0.076726132,0.055780745,0.078510405,0.035895034,0.067496577,0.069499741,0.044802809,0.199336911,0.065014946
100_400_3,0.08417273,0.028034283,0.068576875,0.072310405,0.052877787,0.08214048,0.024117165,0.065859459,0.070262712,0.049019299,0.076378376,0.033210572,0.0642863,0.068955158,0.047534606,0.126687937,0.05954836
100_400_4,0.078439567,0.030262386,0.066918424,0.069549559,0.051342134,0.081807931,0.026116857,0.068206743,0.06941307,0.05131124,0.069524469,0.038621732,0.059849047,0.066077881,0.04748168,0.195961653,0.055052251
100_400_5,0.063612247,0.016386258,0.04974337,0.055994262,0.034942749,0.062430088,0.012616461,0.051280072,0.052691146,0.033395038,0.056220779,0.019490773,0.04769279,0.050514378,0.031280155,0.179492759,0.038042548
100_400_6,0.082054188,0.028824049,0.067255582,0.069323907,0.052293305,0.07987099,0.025924418,0.066018214,0.066826443,0.056821568,0.06772944,0.035169904,0.060195958,0.064625989,0.044507431,0.194397939,0.063297564
100_400_7,0.07528486,0.023059849,0.060969995,0.059915641,0.048929563,0.065466206,0.0217485,0.058511972,0.058915742,0.043324988,0.060154796,0.0283477,0.053872886,0.057552525,0.03751967,0.170475844,0.049846457
100_400_8,0.073890052,0.019175574,0.060019488,0.058214514,0.048195531,0.069875392,0.019631479,0.058903113,0.061322188,0.037895466,0.058585832,0.025272919,0.049936237,0.053294745,0.033014761,0.172590762,0.046226832
100_400_9,0.070477409,0.020480706,0.062540652,0.06282424,0.046803961,0.073484096,0.013637461,0.05709046,0.06191535,0.04163887,0.060248249,0.025127913,0.050096536,0.055127992,0.032694761,0.146558854,0.051701539
100_400_10,0.069645425,0.023425987,0.062083797,0.060757247,0.051020689,0.072964208,0.02026425,0.06274144,0.065787478,0.046863561,0.056869559,0.028185347,0.049313734,0.055628967,0.03252219,0.183446564,0.047977371
250_250_1,0.070289459,0.043807183,0.061965356,0.053865034,0.053743966,0.066138289,0.043981997,0.057094593,0.056502037,0.046886913,0.029292957,0.029320293,0.030965247,0.029427521,0.030436103,0,0.04016828
250_250_2,0.065968971,0.041609446,0.059190902,0.055319202,0.056037018,0.063406645,0.046125373,0.058015132,0.05408166,0.050678374,0.034623758,0.032105027,0.036733533,0.03565951,0.036326599,0,0.045073067
250_250_3,0.052049146,0.025305448,0.048143248,0.037819756,0.036771101,0.049655617,0.031208539,0.041772785,0.040391517,0.033363352,0.011615905,0.012537116,0.016121869,0.014727486,0.013427053,0.007246894,0.017276361
250_250_4,0.048749456,0.023921025,0.040066887,0.035331768,0.034123552,0.045827455,0.027461617,0.039209943,0.035280995,0.0296735,0.01068993,0.010196879,0.011685166,0.01195618,0.010743487,0,0.015897436
250_250_5,0.046126059,0.026887995,0.038749869,0.03538645,0.033517765,0.042317984,0.029801881,0.038799142,0.03326338,0.028045158,0.01960838,0.016077032,0.018826724,0.020325844,0.017129706,0.037194132,0.022523096
250_250_6,0.079435763,0.06293337,0.076058346,0.070056691,0.068254139,0.079241152,0.056206434,0.074891643,0.070359378,0.065967594,0.042767449,0.043131002,0.043395813,0.043597453,0.044017604,0,0.05279377
250_250_7,0.050940862,0.025830475,0.041322469,0.039514763,0.034587459,0.048186154,0.024677618,0.042765467,0.036897353,0.034422074,0.016063184,0.01463142,0.015145392,0.016527331,0.016731671,0.045153847,0.023194358
250_250_8,0.043301419,0.026640088,0.03664995,0.029744087,0.032791105,0.039948929,0.019090388,0.034023635,0.030451949,0.024184327,0.009683361,0.009221813,0.010539141,0.010443024,0.0088986,0.03397116,0.017466683
250_250_9,0.063498736,0.046590852,0.054617026,0.052563381,0.052953974,0.059910988,0.046132546,0.056408684,0.051881389,0.048160815,0.032016121,0.031583164,0.032568419,0.03328858,0.032083781,0,0.042670642
250_250_10,0.04542591,0.0231953,0.040998693,0.031422344,0.035082067,0.043252483,0.023002305,0.041538042,0.030910076,0.029153275,0.007692078,0.010063559,0.008043542,0.007808705,0.008423463,0.01062174,0.016966224
400_100_1,0.079238748,0.042824542,0.070408863,0.069889121,0.061283991,0.079217116,0.047532826,0.069909603,0.069332219,0.061712763,0.018794184,0.012907616,0.018761848,0.018731749,0.013509667,0.026561261,0.020766013
400_100_2,0.066774482,0.036597821,0.057655492,0.05673784,0.052611236,0.067133289,0.03250373,0.0555259,0.055384592,0.044846189,0.010000557,0.007758848,0.010001853,0.00999907,0.008911614,0.015394352,0.009804597
400_100_3,0.065938431,0.036257176,0.057510944,0.057287353,0.056417879,0.065541159,0.030630397,0.056410961,0.055625485,0.048573096,0.00787691,0.00753312,0.00788326,0.007779962,0.006599551,0.014893887,0.009428467
400_100_4,0.069729124,0.030213171,0.059942916,0.063197363,0.048110699,0.06894039,0.029994451,0.061005319,0.06368364,0.054151306,0.018187317,0.0149215,0.018184974,0.018184087,0.018018353,0.03123456,0.011976099
400_100_5,0.08664119,0.045964824,0.076321794,0.077447886,0.071502977,0.085285516,0.047745926,0.077708929,0.075057331,0.066232845,0.02661071,0.020988708,0.026605872,0.026607218,0.022706311,0.029139539,0.027223206
400_100_6,0.076223505,0.040066577,0.058641739,0.061506976,0.056108143,0.07217053,0.039238222,0.058834742,0.059720013,0.056185242,0.015517431,0.009902446,0.015706289,0.015691494,0.013408934,0.019826766,0.014033572
400_100_7,0.070452828,0.03817578,0.061007718,0.060476035,0.05971616,0.068434361,0.038235424,0.060505762,0.060208843,0.054056386,0.012380851,0.008146342,0.012376659,0.012380089,0.009369014,0.016594589,0.01393868
400_100_8,0.080371682,0.048769488,0.069451036,0.069553551,0.066848218,0.07954731,0.044254139,0.067769891,0.06755952,0.059546549,0.014070774,0.01044927,0.014078962,0.014078195,0.013414008,0.028596323,0.017434311
400_100_9,0.077613505,0.043627078,0.063246097,0.063139875,0.058941324,0.075084189,0.037637117,0.062096164,0.064332181,0.056153905,0.012831038,0.010414357,0.012824784,0.012827113,0.011036659,0,0.016577899
400_100_10,0.078054468,0.045526518,0.063349102,0.064229059,0.063189752,0.07584877,0.042450808,0.063232444,0.065498389,0.061497472,0.006824923,0.005846855,0.006825019,0.006823004,0.006824123,0.00996104,0.015760183
average,0.069140842,0.033253343,0.058814923,0.057672585,0.050826095,0.067120271,0.031695916,0.057801949,0.057122059,0.046960371,0.033256594,0.020409326,0.030428105,0.031927915,0.024255864,0.068652678,0.032368671
