,FTA-INS,FTA-INB,FTA-INV,FTA-SWP,FTA-ML,SA-INS,SA-INB,SA-INV,SA-SWP,SA-ML,SS-INS,SS-INB,SS-INV,SS-SWP,SS-ML,NEH,NEH-B,MIP
1_1_1,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0.172990099,0
1_1_2,0.094360902,0.094360902,0.094561404,0.094360902,0.094360902,0.094360902,0.094360902,0.094473684,0.094360902,0.094360902,0.094360902,0.094360902,0.094360902,0.094360902,0.094360902,0.094360902,0.094360902,0
1_1_3,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0.001614857,0
1_1_4,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0.010948905,0
1_1_5,0.034455516,0.034455516,0.03461627,0.034455516,0.034455516,0.034455516,0.034455516,0.034650717,0.034455516,0.034455516,0.034455516,0.034455516,0.034455516,0.034455516,0.034455516,0.034455516,0.034455516,0
average,0.062874056,0.062874056,0.062946307,0.062874056,0.062874056,0.062874056,0.062874056,0.062935653,0.062874056,0.062874056,0.062874056,0.062874056,0.062874056,0.062874056,0.062874056,0.062874056,0.062874056,0
2_2_1,0.04209957,0.084844544,0.067053221,0.066766982,0.055495539,0.04209957,0.081575062,0.070360867,0.067593894,0.055075723,0.04209957,0.103927122,0.079017997,0.051539085,0.04328269,0.102400515,0.103927122,0
2_2_2,0.041436444,0.065638147,0.061329603,0.043775367,0.042144276,0.041436444,0.067570836,0.065219602,0.045178721,0.044052345,0.041436444,0.077812859,0.050705967,0.042138121,0.041670336,0.048637866,0.077812859,0
2_2_3,0.051883821,0.051852017,0.119430108,0.051820213,0.051857317,0.05187852,0.051830814,0.121460261,0.051841415,0.051820213,0.051756605,0.051756605,0.051756605,0.051756605,0.051756605,0.051756605,0.051756605,0
2_2_4,0.013863574,0.013852527,0.084512566,0.013830434,0.01384148,0.013885667,0.01384148,0.061320077,0.013813864,0.01385805,0.013753107,0.013753107,0.013753107,0.013753107,0.013753107,0.013753107,0.013753107,0
2_2_5,0.078539613,0.09599241,0.09557412,0.078539613,0.079296862,0.078539613,0.09674966,0.095054863,0.083155229,0.079001175,0.078539613,0.101257097,0.090078653,0.082232106,0.078539613,0.101257097,0.101257097,0
average,0.045564604,0.062435929,0.085579924,0.050946522,0.048527095,0.045567963,0.06231357,0.082683134,0.052316625,0.048761501,0.045517068,0.069701358,0.057062466,0.048283805,0.04580047,0.063561038,0.069701358,0
3_3_1,0.047128067,0.063074033,0.098924388,0.051166167,0.047113581,0.047511958,0.061125605,0.086219767,0.055294806,0.047117202,0.047243959,0.04760612,0.047171527,0.047048392,0.047059257,0.061820954,0.049054766,0
3_3_2,0.039508632,0.054957946,0.082108603,0.039508632,0.039508632,0.039519699,0.052715066,0.070953224,0.043632876,0.039508632,0.039512321,0.039512321,0.039508632,0.039508632,0.039512321,0.061531651,0.039567656,0
3_3_3,0.044401672,0.096266051,0.123447962,0.053714663,0.045398406,0.044401672,0.093576393,0.128804453,0.056701059,0.047395677,0.044401672,0.05737062,0.058884742,0.046395139,0.047372851,0.221987619,0.06310374,0
3_3_4,0.045215449,0.071339709,0.10890048,0.046947264,0.045215449,0.045615727,0.074815591,0.089058133,0.052142708,0.048834288,0.045346152,0.048993583,0.045248125,0.045215449,0.045215449,0.101826181,0.05124004,0
3_3_5,0.036250928,0.048216392,0.080801043,0.039181099,0.036034945,0.040883766,0.045800981,0.09016031,0.039609465,0.037712414,0.034343077,0.034544662,0.034343077,0.034753445,0.034343077,0.040930562,0.035602979,0
average,0.04250095,0.066770826,0.098836495,0.046103565,0.042654203,0.043586565,0.065606727,0.093039178,0.049476183,0.044113643,0.042169436,0.045605461,0.045031221,0.042584212,0.042700591,0.097619394,0.047713836,0
4_4_1,0.001278977,0.02973029,0.013464784,0.005281701,0.000367114,0.003543832,0.030363857,0.014595731,0.005530391,0.003597122,7.11E-05,0.008351837,0.003730349,0.001509903,5.63E-05,0.009503508,0.069810818,0.007697674
4_4_2,0.000748485,0.046936364,0.015357576,0.003975758,0.00080303,0.004639394,0.039212121,0.029633333,0.010266667,0.005209091,0.000818182,0.002024242,0.001530303,0.000954545,0.000742424,0.122,0.053275758,0
4_4_3,0,0.019820661,0.008895323,0.003508936,0,0.000569774,0.013578056,0.012407373,0.006429417,0.000382963,0,0.003723769,0.003670839,0.000622704,0,0.029983187,0.034572514,0.005047206
4_4_4,0.000166983,0.041837969,0.026230783,0.015411412,0.0021823,0.008812691,0.04404618,0.013007428,0.01963494,0.005303161,0.001094029,0.017406576,0.012768469,0.001750446,0,0.061755053,0.068958369,0.00474607
4_4_5,0.000970079,0.069632422,0.024561711,0.031212015,0.001496026,0.01243864,0.076098644,0.033231066,0.022200795,0.010919238,0.002454418,0.031726274,0.013078541,0.002495325,0,0.130434783,0.105037401,0.001139551
average,0.000632905,0.041591541,0.017702035,0.011877964,0.000969694,0.006000866,0.040659772,0.020574986,0.012812442,0.005082315,0.000887537,0.01264654,0.0069557,0.001466585,0.000159735,0.070735306,0.066330972,0.0037261
