,SPS-FTA-INB,SPS-GA-INB,SPS-SA-INB,SPS-PSO-INB,SPS-SS-INB,FTA-INV,FTA-INS,FTA-SWP,GA-INV,GA-INS,GA-SWP,SA-INV,SA-INS,SA-SWP,PSO-INV,PSO-INS,PSO-SWP,SS-INV,SS-INS,SS-SWP,BS-AM,BS-GDEL,BS-LACC,BS-NA,BS-SA,RPD-AM,RPD-GDEL,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-LACC,SR-NA,SR-SA,FTA-ML,GA-ML,SA-ML,PSO-ML,SS-ML,BS-HH,QL-HH,NEH,NEH-B
80_320_1,0.0301,0.0588,0.0265,0.0270,0.0357,0.0772,0.0768,0.0661,0.0974,0.1070,0.0728,0.0693,0.0580,0.0564,0.0722,0.0689,0.0522,0.0825,0.0800,0.0574,0.1260,0.0527,0.1026,0.1412,0.0523,0.1127,0.1178,0.0871,0.1154,0.0407,0.1344,0.0325,0.1078,0.1322,0.0348,0.0455,0.0928,0.0374,0.0429,0.0525,0.1101,0.0736,0.1575,0.1427
80_320_2,0.0592,0.0915,0.0505,0.0550,0.0648,0.1158,0.1057,0.1006,0.1341,0.1382,0.1170,0.1044,0.0850,0.0976,0.1034,0.0890,0.0911,0.1158,0.1106,0.0886,0.1730,0.0943,0.1460,0.1768,0.0786,0.1533,0.1593,0.1280,0.1569,0.0653,0.1735,0.0643,0.1468,0.1704,0.0654,0.0829,0.1319,0.0714,0.0773,0.0862,0.1514,0.1115,0.1994,0.2073
80_320_3,0.0412,0.0633,0.0303,0.0316,0.0404,0.0988,0.0946,0.0846,0.1199,0.1193,0.0994,0.0844,0.0731,0.0834,0.0806,0.0828,0.0688,0.1003,0.0977,0.0742,0.1582,0.0803,0.1341,0.1586,0.0559,0.1340,0.1341,0.1062,0.1312,0.0504,0.1539,0.0437,0.1279,0.1511,0.0533,0.0606,0.1148,0.0492,0.0539,0.0622,0.1325,0.0916,0.1777,0.1435
80_320_4,0.0297,0.0525,0.0224,0.0234,0.0335,0.0836,0.0754,0.0702,0.1044,0.1082,0.0776,0.0716,0.0651,0.0651,0.0684,0.0569,0.0610,0.0847,0.0810,0.0608,0.1359,0.0557,0.0985,0.1389,0.0509,0.1196,0.1212,0.0909,0.1191,0.0406,0.1372,0.0347,0.1108,0.1346,0.0383,0.0462,0.0901,0.0427,0.0366,0.0546,0.1142,0.0790,0.1553,0.1642
80_320_5,0.0411,0.0699,0.0321,0.0308,0.0441,0.0922,0.0904,0.0777,0.1087,0.1215,0.0902,0.0788,0.0754,0.0662,0.0799,0.0755,0.0663,0.0951,0.0885,0.0684,0.1481,0.0708,0.1114,0.1509,0.0490,0.1297,0.1323,0.1023,0.1285,0.0494,0.1489,0.0479,0.1229,0.1461,0.0446,0.0533,0.0987,0.0460,0.0606,0.0616,0.1276,0.0878,0.1707,0.1552
80_320_6,0.0369,0.0686,0.0288,0.0331,0.0401,0.0877,0.0892,0.0770,0.1110,0.1164,0.0951,0.0812,0.0721,0.0749,0.0797,0.0740,0.0651,0.0907,0.0899,0.0658,0.1383,0.0844,0.1041,0.1409,0.0569,0.1224,0.1284,0.0941,0.1243,0.0522,0.1405,0.0437,0.1152,0.1401,0.0478,0.0594,0.1036,0.0535,0.0461,0.0546,0.1207,0.0844,0.1619,0.1644
80_320_7,0.0311,0.0672,0.0303,0.0314,0.0353,0.0741,0.0772,0.0675,0.1028,0.1038,0.0765,0.0692,0.0608,0.0579,0.0695,0.0600,0.0619,0.0812,0.0774,0.0569,0.1326,0.0748,0.1129,0.1304,0.0426,0.1158,0.1185,0.0892,0.1134,0.0309,0.1343,0.0340,0.1085,0.1307,0.0306,0.0516,0.0892,0.0408,0.0451,0.0552,0.1134,0.0752,0.1514,0.1600
80_320_8,0.0452,0.0681,0.0456,0.0422,0.0485,0.0879,0.0947,0.0816,0.1099,0.1133,0.0932,0.0805,0.0709,0.0690,0.0786,0.0702,0.0708,0.0956,0.0874,0.0673,0.1461,0.0719,0.1152,0.1451,0.0728,0.1257,0.1264,0.0998,0.1283,0.0457,0.1453,0.0503,0.1204,0.1443,0.0481,0.0666,0.0963,0.0575,0.0543,0.0583,0.1242,0.0844,0.1637,0.1152
80_320_9,0.0287,0.0668,0.0257,0.0241,0.0366,0.0784,0.0733,0.0706,0.1043,0.1081,0.0927,0.0673,0.0579,0.0598,0.0668,0.0593,0.0585,0.0832,0.0784,0.0578,0.1393,0.0649,0.1187,0.1326,0.0444,0.1202,0.1225,0.0915,0.1254,0.0301,0.1378,0.0345,0.1123,0.1350,0.0363,0.0497,0.0787,0.0404,0.0390,0.0540,0.1146,0.0781,0.1578,0.1443
80_320_10,0.0418,0.0739,0.0355,0.0353,0.0409,0.0855,0.0871,0.0781,0.1113,0.1169,0.0879,0.0776,0.0687,0.0749,0.0783,0.0876,0.0675,0.0900,0.0872,0.0666,0.1432,0.0717,0.1098,0.1437,0.0602,0.1230,0.1224,0.0959,0.1195,0.0447,0.1430,0.0422,0.1160,0.1398,0.0470,0.0603,0.1004,0.0447,0.0571,0.0546,0.1213,0.0858,0.1613,0.1601
200_200_1,0.0267,0.0610,0.0242,0.0249,0.0239,0.0623,0.0642,0.0525,0.0722,0.0896,0.0663,0.0587,0.0604,0.0490,0.0572,0.0610,0.0471,0.0596,0.0610,0.0425,0.1014,0.0438,0.0702,0.1019,0.0431,0.0762,0.0770,0.0573,0.0767,0.0338,0.0938,0.0282,0.0684,0.0887,0.0244,0.0372,0.0644,0.0317,0.0320,0.0333,0.0711,0.0402,0.1161,0.0615
200_200_2,0.0406,0.0727,0.0350,0.0371,0.0348,0.0668,0.0726,0.0586,0.0824,0.0990,0.0838,0.0617,0.0708,0.0541,0.0654,0.0717,0.0567,0.0666,0.0686,0.0506,0.1046,0.0543,0.0877,0.1174,0.0504,0.0908,0.0921,0.0693,0.0900,0.0443,0.1052,0.0384,0.0828,0.1009,0.0355,0.0476,0.0796,0.0415,0.0425,0.0406,0.0860,0.0521,0.1318,0.0733
200_200_3,0.0290,0.0521,0.0271,0.0278,0.0265,0.0617,0.0675,0.0552,0.0778,0.0932,0.0813,0.0611,0.0646,0.0516,0.0618,0.0671,0.0557,0.0618,0.0627,0.0489,0.0982,0.0471,0.0738,0.1090,0.0460,0.0841,0.0839,0.0621,0.0827,0.0442,0.0997,0.0329,0.0758,0.0930,0.0309,0.0397,0.0708,0.0354,0.0362,0.0379,0.0789,0.0471,0.1268,0.0627
200_200_4,0.0354,0.0458,0.0299,0.0305,0.0313,0.0685,0.0729,0.0624,0.0790,0.0989,0.0931,0.0653,0.0703,0.0582,0.0636,0.0719,0.0580,0.0669,0.0714,0.0536,0.1095,0.0538,0.0779,0.1061,0.0537,0.0864,0.0859,0.0661,0.0849,0.0524,0.1038,0.0312,0.0788,0.0986,0.0348,0.0445,0.0727,0.0378,0.0384,0.0370,0.0830,0.0501,0.1303,0.0791
200_200_5,0.0310,0.0583,0.0268,0.0271,0.0273,0.0680,0.0737,0.0599,0.0768,0.0911,0.0804,0.0653,0.0713,0.0581,0.0662,0.0691,0.0563,0.0653,0.0658,0.0506,0.0988,0.0519,0.0895,0.1095,0.0429,0.0821,0.0826,0.0636,0.0841,0.0437,0.0979,0.0271,0.0750,0.0947,0.0266,0.0396,0.0699,0.0346,0.0297,0.0364,0.0773,0.0464,0.1267,0.0663
200_200_6,0.0349,0.0461,0.0319,0.0287,0.0278,0.0658,0.0733,0.0613,0.0848,0.0991,0.0786,0.0664,0.0668,0.0581,0.0673,0.0716,0.0528,0.0660,0.0687,0.0504,0.1108,0.0636,0.0864,0.1080,0.0513,0.0818,0.0862,0.0635,0.0828,0.0479,0.1031,0.0311,0.0778,0.0980,0.0282,0.0468,0.0789,0.0380,0.0337,0.0398,0.0798,0.0495,0.1161,0.0739
200_200_7,0.0375,0.0576,0.0337,0.0336,0.0338,0.0723,0.0787,0.0637,0.0870,0.1086,0.0960,0.0696,0.0722,0.0584,0.0666,0.0749,0.0571,0.0703,0.0720,0.0547,0.1153,0.0561,0.0852,0.1152,0.0492,0.0901,0.0932,0.0700,0.0908,0.0455,0.1090,0.0399,0.0835,0.1048,0.0330,0.0435,0.0723,0.0440,0.0398,0.0429,0.0876,0.0538,0.1322,0.0645
200_200_8,0.0258,0.0537,0.0223,0.0270,0.0231,0.0604,0.0660,0.0492,0.0723,0.0893,0.0773,0.0568,0.0649,0.0498,0.0620,0.0627,0.0444,0.0589,0.0582,0.0425,0.1003,0.0508,0.0775,0.1007,0.0437,0.0757,0.0746,0.0570,0.0789,0.0369,0.0916,0.0268,0.0694,0.0891,0.0248,0.0338,0.0606,0.0361,0.0309,0.0305,0.0723,0.0401,0.1188,0.0386
200_200_9,0.0247,0.0484,0.0230,0.0238,0.0204,0.0585,0.0654,0.0537,0.0709,0.0872,0.0721,0.0601,0.0623,0.0506,0.0570,0.0590,0.0509,0.0595,0.0600,0.0426,0.0988,0.0498,0.0794,0.0909,0.0402,0.0741,0.0755,0.0568,0.0748,0.0393,0.0910,0.0251,0.0688,0.0886,0.0271,0.0353,0.0598,0.0324,0.0249,0.0292,0.0727,0.0413,0.1205,0.0399
200_200_10,0.0365,0.0709,0.0325,0.0317,0.0300,0.0671,0.0759,0.0605,0.0796,0.0942,0.0974,0.0623,0.0695,0.0548,0.0654,0.0733,0.0597,0.0661,0.0707,0.0536,0.1156,0.0563,0.0879,0.1161,0.0447,0.0883,0.0899,0.0687,0.0874,0.0414,0.1058,0.0358,0.0828,0.1013,0.0302,0.0420,0.0787,0.0472,0.0372,0.0446,0.0851,0.0525,0.1331,0.0953
320_80_1,0.0279,0.0354,0.0276,0.0260,0.0234,0.0531,0.0678,0.0512,0.0597,0.0728,0.0571,0.0540,0.0614,0.0531,0.0517,0.0617,0.0520,0.0516,0.0580,0.0425,0.0823,0.0412,0.0608,0.0743,0.0285,0.0614,0.0624,0.0489,0.0616,0.0342,0.0747,0.0182,0.0621,0.0728,0.0185,0.0427,0.0559,0.0327,0.0335,0.0343,0.0608,0.0360,0.0848,0.0379
320_80_2,0.0324,0.0425,0.0288,0.0276,0.0261,0.0600,0.0721,0.0529,0.0654,0.0753,0.0621,0.0559,0.0692,0.0493,0.0558,0.0667,0.0514,0.0551,0.0627,0.0426,0.0736,0.0433,0.0666,0.0812,0.0328,0.0660,0.0668,0.0540,0.0669,0.0372,0.0804,0.0206,0.0660,0.0774,0.0198,0.0408,0.0509,0.0363,0.0382,0.0393,0.0644,0.0377,0.0863,0.0342
320_80_3,0.0317,0.0461,0.0311,0.0309,0.0292,0.0643,0.0773,0.0521,0.0702,0.0802,0.0681,0.0619,0.0723,0.0557,0.0568,0.0726,0.0501,0.0587,0.0669,0.0462,0.0876,0.0555,0.0689,0.0863,0.0348,0.0734,0.0748,0.0575,0.0754,0.0440,0.0855,0.0264,0.0715,0.0844,0.0225,0.0457,0.0616,0.0421,0.0420,0.0423,0.0719,0.0440,0.0970,0.0330
320_80_4,0.0303,0.0456,0.0293,0.0264,0.0266,0.0615,0.0730,0.0574,0.0670,0.0755,0.0705,0.0565,0.0700,0.0553,0.0586,0.0683,0.0537,0.0558,0.0645,0.0456,0.0857,0.0376,0.0721,0.0832,0.0280,0.0680,0.0716,0.0564,0.0718,0.0370,0.0830,0.0196,0.0702,0.0823,0.0211,0.0455,0.0585,0.0424,0.0350,0.0399,0.0676,0.0432,0.0924,0.0398
320_80_5,0.0286,0.0396,0.0260,0.0249,0.0225,0.0605,0.0709,0.0550,0.0648,0.0764,0.0616,0.0559,0.0711,0.0513,0.0552,0.0686,0.0551,0.0552,0.0629,0.0438,0.0819,0.0541,0.0731,0.0733,0.0335,0.0700,0.0693,0.0548,0.0715,0.0399,0.0823,0.0200,0.0686,0.0785,0.0216,0.0395,0.0626,0.0352,0.0377,0.0332,0.0669,0.0387,0.0891,0.0305
320_80_6,0.0376,0.0499,0.0341,0.0360,0.0325,0.0683,0.0821,0.0624,0.0750,0.0851,0.0706,0.0645,0.0756,0.0574,0.0669,0.0746,0.0590,0.0648,0.0718,0.0524,0.0870,0.0495,0.0777,0.0923,0.0332,0.0769,0.0772,0.0619,0.0787,0.0535,0.0905,0.0327,0.0764,0.0898,0.0271,0.0505,0.0667,0.0418,0.0458,0.0435,0.0757,0.0491,0.0988,0.0509
320_80_7,0.0306,0.0401,0.0258,0.0274,0.0232,0.0538,0.0672,0.0474,0.0619,0.0739,0.0603,0.0525,0.0664,0.0504,0.0513,0.0639,0.0436,0.0499,0.0582,0.0383,0.0784,0.0338,0.0635,0.0775,0.0320,0.0679,0.0675,0.0510,0.0671,0.0373,0.0789,0.0180,0.0631,0.0773,0.0192,0.0412,0.0555,0.0350,0.0307,0.0330,0.0640,0.0386,0.0915,0.0395
320_80_8,0.0402,0.0509,0.0364,0.0394,0.0336,0.0655,0.0779,0.0647,0.0702,0.0851,0.0691,0.0640,0.0769,0.0587,0.0628,0.0736,0.0594,0.0590,0.0695,0.0520,0.0867,0.0415,0.0740,0.0888,0.0321,0.0725,0.0746,0.0603,0.0746,0.0485,0.0858,0.0272,0.0729,0.0840,0.0272,0.0490,0.0696,0.0442,0.0416,0.0449,0.0730,0.0464,0.0983,0.0479
320_80_9,0.0410,0.0474,0.0414,0.0373,0.0356,0.0633,0.0810,0.0605,0.0712,0.0803,0.0659,0.0641,0.0774,0.0580,0.0616,0.0730,0.0549,0.0606,0.0666,0.0485,0.0825,0.0575,0.0778,0.0822,0.0375,0.0720,0.0731,0.0604,0.0735,0.0448,0.0850,0.0271,0.0726,0.0828,0.0268,0.0504,0.0645,0.0441,0.0441,0.0435,0.0720,0.0444,0.0946,0.0365
320_80_10,0.0314,0.0495,0.0305,0.0273,0.0285,0.0658,0.0800,0.0590,0.0727,0.0854,0.0681,0.0636,0.0744,0.0586,0.0643,0.0771,0.0564,0.0623,0.0710,0.0480,0.0933,0.0525,0.0736,0.0861,0.0411,0.0761,0.0787,0.0615,0.0785,0.0399,0.0894,0.0284,0.0751,0.0872,0.0267,0.0459,0.0663,0.0440,0.0386,0.0346,0.0743,0.0468,0.1013,0.0481
