,SPS-FTA-INB,SPS-GA-INB,SPS-SA-INB,SPS-PSO-INB,SPS-SS-INB,FTA-INV,FTA-INS,FTA-SWP,GA-INV,GA-INS,GA-SWP,SA-INV,SA-INS,SA-SWP,PSO-INV,PSO-INS,PSO-SWP,SS-INV,SS-INS,SS-SWP,BS-AM,BS-GDEL,BS-LACC,BS-NA,BS-SA,RPD-AM,RPD-GDEL,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-LACC,SR-NA,SR-AG:APSA,FTA-ML,GA-ML,SA-ML,PSO-ML,SS-ML,BS-HH,QL-HH,NEH,NEH-B
100_400_1,0.0364,0.0663,0.0353,0.0351,0.0407,0.0694,0.0818,0.0730,0.0872,0.1084,0.0904,0.0679,0.0790,0.0670,0.0650,0.0707,0.0652,0.0722,0.0821,0.0637,0.1250,0.0658,0.0961,0.1138,0.0466,0.1032,0.1078,0.0847,0.1055,0.0504,0.1176,0.0324,0.0966,0.1143,0.0323,0.0559,0.0912,0.0508,0.0451,0.0532,0.0986,0.0719,0.1505,0.1282
100_400_2,0.0374,0.0788,0.0279,0.0331,0.0414,0.0832,0.0910,0.0830,0.1008,0.1160,0.0962,0.0765,0.0925,0.0772,0.0699,0.0755,0.0713,0.0826,0.0923,0.0772,0.1345,0.0501,0.1102,0.1256,0.0607,0.1168,0.1190,0.0959,0.1195,0.0505,0.1301,0.0417,0.1074,0.1283,0.0434,0.0624,0.0994,0.0538,0.0475,0.0659,0.1125,0.0806,0.1540,0.1285
100_400_3,0.0263,0.0687,0.0334,0.0257,0.0347,0.0712,0.0791,0.0766,0.0855,0.1124,0.0902,0.0634,0.0778,0.0731,0.0647,0.0659,0.0631,0.0746,0.0810,0.0660,0.1193,0.0660,0.0972,0.1217,0.0516,0.1060,0.1086,0.0867,0.1072,0.0401,0.1195,0.0330,0.0985,0.1181,0.0401,0.0539,0.0875,0.0454,0.0406,0.0524,0.1012,0.0752,0.1484,0.1180
100_400_4,0.0441,0.0815,0.0402,0.0476,0.0493,0.0824,0.0959,0.0866,0.1055,0.1229,0.1065,0.0843,0.0927,0.0872,0.0776,0.0828,0.0803,0.0884,0.0948,0.0792,0.1341,0.0707,0.1126,0.1372,0.0533,0.1187,0.1182,0.0997,0.1189,0.0600,0.1323,0.0468,0.1107,0.1288,0.0491,0.0629,0.0972,0.0615,0.0550,0.0656,0.1145,0.0877,0.1583,0.1071
100_400_5,0.0243,0.0506,0.0218,0.0231,0.0266,0.0593,0.0713,0.0628,0.0725,0.0963,0.0708,0.0551,0.0621,0.0573,0.0513,0.0545,0.0544,0.0602,0.0697,0.0511,0.1081,0.0400,0.0915,0.1057,0.0387,0.0916,0.0908,0.0719,0.0918,0.0402,0.1038,0.0219,0.0836,0.1018,0.0236,0.0471,0.0670,0.0366,0.0292,0.0447,0.0869,0.0582,0.1331,0.0831
100_400_6,0.0342,0.0612,0.0300,0.0325,0.0360,0.0740,0.0822,0.0754,0.0920,0.1147,0.1026,0.0738,0.0788,0.0743,0.0653,0.0727,0.0721,0.0736,0.0848,0.0692,0.1294,0.0609,0.1133,0.1276,0.0495,0.1113,0.1113,0.0888,0.1122,0.0446,0.1229,0.0365,0.1023,0.1215,0.0330,0.0590,0.0858,0.0441,0.0371,0.0569,0.1039,0.0761,0.1539,0.1193
100_400_7,0.0276,0.0612,0.0258,0.0317,0.0351,0.0671,0.0798,0.0676,0.0842,0.1020,0.0821,0.0611,0.0707,0.0633,0.0612,0.0641,0.0619,0.0697,0.0745,0.0569,0.1167,0.0539,0.0891,0.1153,0.0422,0.1005,0.1036,0.0821,0.1016,0.0428,0.1129,0.0345,0.0910,0.1119,0.0364,0.0509,0.0875,0.0461,0.0349,0.0515,0.0964,0.0673,0.1410,0.1064
100_400_8,0.0297,0.0713,0.0288,0.0309,0.0346,0.0708,0.0849,0.0728,0.0906,0.1083,0.0964,0.0704,0.0814,0.0738,0.0673,0.0754,0.0696,0.0755,0.0830,0.0671,0.1207,0.0525,0.1021,0.1153,0.0453,0.1067,0.1087,0.0864,0.1066,0.0426,0.1192,0.0387,0.0979,0.1173,0.0359,0.0544,0.0875,0.0457,0.0424,0.0517,0.1018,0.0752,0.1522,0.1103
100_400_9,0.0296,0.0647,0.0311,0.0298,0.0372,0.0712,0.0865,0.0760,0.0862,0.1050,0.0946,0.0704,0.0807,0.0722,0.0673,0.0714,0.0736,0.0767,0.0816,0.0652,0.1181,0.0617,0.1005,0.1191,0.0477,0.1059,0.1086,0.0864,0.1073,0.0487,0.1207,0.0333,0.0971,0.1176,0.0372,0.0521,0.0844,0.0533,0.0430,0.0467,0.1022,0.0729,0.1492,0.1332
100_400_10,0.0319,0.0733,0.0260,0.0304,0.0339,0.0691,0.0822,0.0714,0.0855,0.1104,0.0939,0.0632,0.0732,0.0670,0.0640,0.0719,0.0649,0.0699,0.0788,0.0605,0.1201,0.0547,0.0913,0.1212,0.0376,0.1021,0.1043,0.0815,0.1031,0.0464,0.1155,0.0322,0.0948,0.1125,0.0334,0.0517,0.0737,0.0430,0.0433,0.0557,0.0978,0.0712,0.1494,0.1229
