,GA-INV,GA-INS,GA-SWP,GA-INB,PSO-INV,PSO-INS,PSO-SWP,PSO-INB,FTA-INV,FTA-INS,FTA-SWP,FTA-INB,SA-INV,SA-INS,SA-SWP,SA-INB,SS-INV,SS-INS,SS-SWP,SS-INB,SS-ML,SA-ML,FTA-ML,GA-ML,PSO-ML,BS-AM,BS-GDEL,BS-IO,BS-LACC,BS-NA,BS-SA,RL-AM,RL-GDEL,RL-IO,RL-LACC,RL-NA,RL-SA,RPD-AM,RPD-GDEL,RPD-IO,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-IO,SR-LACC,SR-NA,SR-SA,BSHH,QLHH,NEH,NEH-B,MLP
1_1_1,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.1730,0.0000
1_1_2,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0945,0.0944,0.0944,0.0944,0.0945,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0945,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0000
1_1_3,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0000
1_1_4,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0000
1_1_5,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0346,0.0345,0.0345,0.0345,0.0346,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0000
2_2_1,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0421,0.0768,0.0421,0.0656,0.0790,0.0742,0.0421,0.0681,0.0858,0.0421,0.0421,0.0433,0.0444,0.0421,0.0564,0.0512,0.0421,0.0421,0.0462,0.0658,0.0640,0.0456,0.0632,0.0607,0.0421,0.0433,0.0574,0.0421,0.0421,0.0421,0.0421,0.0421,0.0515,0.0444,0.0421,0.0421,0.0433,0.0614,0.0488,0.0576,0.0468,0.0517,0.0421,0.0421,0.0421,0.1039,0.0000
2_2_2,0.0415,0.0414,0.0417,0.0414,0.0414,0.0414,0.0414,0.0414,0.0670,0.0414,0.0447,0.0693,0.0642,0.0414,0.0445,0.0641,0.0417,0.0414,0.0414,0.0419,0.0414,0.0472,0.0474,0.0414,0.0414,0.0429,0.0548,0.0540,0.0469,0.0498,0.0651,0.0414,0.0417,0.0428,0.0417,0.0414,0.0414,0.0414,0.0414,0.0421,0.0414,0.0414,0.0414,0.0414,0.0469,0.0422,0.0438,0.0414,0.0421,0.0417,0.0414,0.0414,0.0778,0.0000
2_2_3,0.0542,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.1055,0.0519,0.0518,0.0518,0.1283,0.0519,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0542,0.0623,0.0542,0.0832,0.0826,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0518,0.0519,0.0518,0.0518,0.0518,0.0518,0.0518,0.0519,0.0518,0.0518,0.0518,0.0518,0.0000
2_2_4,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0785,0.0139,0.0139,0.0138,0.0755,0.0139,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0426,0.0167,0.0138,0.0254,0.0368,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0139,0.0138,0.0138,0.0138,0.0138,0.0139,0.0138,0.0138,0.0138,0.0139,0.0138,0.0138,0.0138,0.0138,0.0000
2_2_5,0.0785,0.0785,0.0785,0.0790,0.0785,0.0785,0.0785,0.0785,0.0967,0.0785,0.0799,0.0989,0.0970,0.0785,0.0873,0.0955,0.0790,0.0785,0.0785,0.0785,0.0785,0.0811,0.0821,0.0785,0.0785,0.0793,0.0928,0.0894,0.0837,0.0846,0.0887,0.0785,0.0785,0.0795,0.0785,0.0785,0.0785,0.0785,0.0785,0.0804,0.0795,0.0785,0.0785,0.0785,0.0832,0.0804,0.0808,0.0785,0.0790,0.0785,0.0785,0.0785,0.1013,0.0000
