,SPS-FTA-SWP,SPS-SA-SWP,SPS-SS-SWP,FTA-INS,FTA-INB,FTA-INV,SA-INS,SA-INB,SA-INV,SS-INS,SS-INB,SS-INV,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
20_80_1,12.43,12.5,21.1,12.48,12.49,12.37,12.52,12.33,12.28,24.09,19.56,24.26,12.26,12.55,19.65,5.72,4.19
20_80_2,12.25,12.34,19.16,12.26,12.37,12.21,12.54,12.6,12.4,19.12,19.32,19.15,12.32,12.4,19.52,5.39,4.16
20_80_3,12.25,12.42,19,12.33,12.29,12.27,12.3,12.37,12.26,19.07,19.27,19.52,12.41,12.33,19.22,5.33,4.19
20_80_4,12.2,12.62,19.42,12.39,12.33,12.38,12.43,12.54,12.21,19.19,19.43,19.38,12.28,12.75,19.17,5.32,4.17
20_80_5,12.24,12.46,19.16,12.26,12.3,12.06,12.53,12.4,12.29,19.17,19.36,19.1,12.29,12.46,19.46,5.28,4.15
20_80_6,12.33,12.72,19.37,12.15,12.19,12.14,12.55,12.57,12.2,19.23,19.24,19.18,12.33,12.64,19.47,5.34,4.21
20_80_7,12.24,12.72,19.55,12.17,12.14,12.24,12.58,12.4,12.27,19.17,19.28,19.18,12.49,12.32,19.23,5.32,4.18
20_80_8,12.03,12.35,19.25,12.33,12.26,12.26,12.46,12.39,12.21,19.21,19.17,19.41,12.41,12.27,19.19,5.34,4.16
20_80_9,12.2,12.49,19.05,12.27,12.38,12.35,12.44,12.44,12.39,19.24,19.25,19.02,12.35,12.34,19.31,5.37,4.18
20_80_10,12.26,12.44,19.17,12.31,12.22,12.31,12.39,12.54,12.26,19.24,19.33,19.08,12.31,12.21,19.62,5.32,4.19
50_50_1,12.43,12.43,19.85,12.45,12.69,12.5,12.43,12.59,12.6,20.12,20.12,20.16,12.55,12.62,20.15,5.31,4.45
50_50_2,12.63,12.48,19.88,12.38,12.66,12.47,12.41,12.78,12.54,20.24,19.91,19.86,12.51,12.84,20.18,5.27,4.49
50_50_3,12.39,12.51,20.07,12.46,12.4,12.3,12.48,13.27,12.59,20.15,20.11,19.93,12.56,12.62,20.18,5.18,4.49
50_50_4,12.41,12.51,19.88,12.52,12.51,12.3,12.4,12.87,12.58,20.08,19.95,20.03,12.57,12.49,20.11,5.27,4.49
50_50_5,12.43,12.37,19.97,12.4,12.44,12.57,12.35,12.51,12.38,19.93,20.1,20.02,12.59,12.65,20.02,5.25,4.48
50_50_6,12.63,12.45,19.94,12.57,12.58,12.33,12.65,12.6,12.46,20.17,20.13,20.06,12.61,12.88,20.38,5.2,4.52
50_50_7,12.62,12.43,19.95,12.65,12.66,12.59,12.63,12.56,12.47,20.22,20.07,20.11,12.69,12.45,20.19,5.26,4.48
50_50_8,12.49,12.51,20.33,12.32,12.48,12.52,12.38,12.97,12.31,20.06,20.68,19.91,12.97,12.48,20.19,5.22,4.47
50_50_9,12.41,12.42,20.05,12.34,12.64,12.67,12.38,12.59,12.5,20.04,20.14,19.98,12.46,12.53,20.04,5.33,4.5
50_50_10,12.27,12.46,20.17,12.44,12.5,12.47,12.47,12.5,12.47,20.01,20.03,19.99,12.49,12.47,20.29,5.34,4.46
80_20_1,12.09,12.32,19.23,12.32,12.15,12.1,12.16,13.44,12.46,19.28,19.25,19.09,12.42,12.49,19.35,5.34,4.16
80_20_2,12.31,12.47,19.08,12.14,12.22,12.18,12.52,13.31,12.85,19.28,19.1,19.13,12.62,12.41,19.19,5.33,4.11
80_20_3,12.12,12.22,19.36,12.25,12.31,12.2,12.35,12.97,12.48,19.27,19.28,19.31,12.31,12.54,19.27,5.27,4.12
80_20_4,12.16,12.36,19.29,12.33,12.26,12.3,12.23,13.06,12.3,19.18,19.12,19.03,12.28,12.31,19.45,5.19,4.12
80_20_5,12.16,12.41,19.35,12.29,12.22,12.24,12.33,13.35,12.37,19.24,19.11,19.12,12.9,12.4,19.3,5.27,4.18
80_20_6,12.38,12.34,19.24,12.14,12.22,12.13,12.26,13.17,12.5,19.14,19.26,19.32,12.42,12.35,19.19,5.21,4.12
80_20_7,12.12,12.38,19.34,12.3,12.27,12.16,12.53,13.02,12.21,19.43,19.23,19.19,12.37,12.37,19.45,5.26,4.15
80_20_8,12.13,12.45,19.19,12.15,12.25,12.32,12.7,13.16,12.54,19.13,19.14,19.49,12.39,12.35,19.23,5.22,4.12
80_20_9,12.14,12.28,19.05,12.29,12.11,12.1,12.43,13.21,12.43,19.09,19.16,19.18,12.6,12.42,19.3,5.23,4.13
80_20_10,12.12,12.37,19.06,12.42,12.19,12.27,12.43,13.42,12.67,19.38,19.05,19.11,12.54,12.77,19.27,5.24,4.16
average,12.3,12.44,19.55,12.34,12.36,12.31,12.44,12.8,12.42,19.67,19.54,19.64,12.48,12.49,19.62,5.3,4.27
