,SPS-FTA-INB,SPS-SA-INB,SPS-SS-INB,FTA-INS,FTA-INV,FTA-SWP,SA-INS,SA-INV,SA-SWP,SS-INS,SS-INV,SS-SWP,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
60_240_1,21.89,21.37,123.73,21.62,21.67,21.6,21.36,21.38,21.33,122.59,123.55,123.67,22.62,21.71,123.91,74.78,61.57
60_240_2,21.8,21.54,123.43,21.59,21.51,21.54,21.14,21.31,21.62,123.7,123.08,123.66,21.74,22.1,123.96,79.2,60.93
60_240_3,21.16,21.25,125.08,21.54,21.61,21.48,21.45,21.23,21.17,123.83,123.76,122.9,21.67,22.91,123.24,79.57,60.96
60_240_4,21.37,21.07,123.24,21.58,21.56,21.54,21.65,21.52,21.26,124.48,122.8,122.95,22.35,22.13,123.44,79.65,61.03
60_240_5,21.77,21.43,122.82,21.37,21.55,21.8,21.61,21.24,21.1,123.34,122.9,123.23,21.86,21.9,124.58,79.61,61.69
60_240_6,21.43,21.28,124.31,21.87,21.34,21.34,21.01,21.59,21,123.13,123.11,123.15,23.03,22.62,123.38,79.68,61.09
60_240_7,21.23,21.25,123.55,21.45,21.11,21.76,21.54,21.32,21.51,122.71,124.66,124.73,21.69,22.73,122.56,79.37,61.38
60_240_8,21.27,21.62,122.29,21.26,21.08,21.91,21.37,21.24,21.28,122.82,123.72,122.29,22.43,22.11,123.97,75.36,61.02
60_240_9,21.45,21.45,122.93,21.46,21.86,21.27,21.49,21.19,21.03,124.29,123.13,123.67,21.64,21.69,123.18,79.34,61.22
60_240_10,21.54,21.25,123.92,21.75,21.58,21.57,21.04,21.03,21.23,124.57,123.9,124.39,21.92,21.94,124.01,78.93,61.11
150_150_1,21.75,21.17,126.72,21.54,21.83,21.73,21.45,21.09,21.12,126.17,125.19,126.51,21.73,21.68,126.31,75.05,62.58
150_150_2,21.45,21.39,125.61,21.72,21.26,21.48,21.19,21.58,21.26,126.19,127.09,126.04,22.1,21.68,127.09,74.86,63.31
150_150_3,21.48,21.36,126.5,21.42,21.55,21.21,21.29,21.31,21.34,125.34,126.2,125.43,21.69,21.96,127.15,74.66,62.98
150_150_4,21.65,21.35,126.26,21.92,21.45,21.23,21.3,20.97,21.19,125.5,126.53,126.63,22.22,22.98,126.47,75.48,62.86
150_150_5,21.77,21.35,125.62,21.29,21.23,21.35,21.45,21.35,21.7,125.26,127.03,126.53,22.53,21.82,126.12,74.86,62.94
150_150_6,21.44,21.25,126.15,21.48,21.42,21.28,21.35,21.38,21.33,125.86,127.04,125.69,21.7,22,126.96,74.67,62.91
150_150_7,21.54,21.1,126.82,21.77,21.39,21.19,21.55,21.53,21.06,126.62,127.11,126.7,21.71,21.72,127.02,74.76,61.68
150_150_8,21.94,21.31,127.49,21.25,21.28,21.64,21.02,21.01,20.96,125.43,126.38,126.68,22.53,22.11,126.11,74.72,62.96
150_150_9,21.4,21.06,127.12,21.49,21.4,21.43,21.3,21.56,21.31,126.25,126.35,127.36,22.26,21.73,127.74,74.86,62.49
150_150_10,21.47,21.29,125.93,21.29,21.5,21.9,21.07,21.4,21.03,126.05,126.04,125.81,22.34,22.69,127.49,74.08,62.28
240_60_1,21.62,22.13,123.64,21.72,22.26,21.87,21.19,21.13,21.36,123.03,122.53,123.79,22.19,21.72,124.93,75.38,60.95
240_60_2,21.2,21.65,123.71,21.3,21.55,21.6,21.2,21.44,21.19,124.09,123.02,124.62,22.49,21.76,124.07,75.36,61.19
240_60_3,21.51,21.48,123.38,21.26,21.22,21.29,21.31,21.17,21.43,122.66,122.55,124.64,21.72,21.73,123.67,75.61,60.68
240_60_4,21.99,21.36,123.96,21.39,21.79,21.8,20.97,20.92,21.17,123.78,122.91,123.7,22.61,22.42,123.96,74.63,60.62
240_60_5,22.08,21.27,123.31,21.41,21.65,21.27,21.4,21.31,21.13,123.36,124.49,123.16,21.69,22.2,124.51,74.62,60.22
240_60_6,21.42,21.46,123.48,21.37,21.46,21.01,21.46,20.95,21.27,123.69,122.46,122.49,22.39,21.66,124.13,76.15,60.5
240_60_7,21.38,21.24,122.7,21.32,21.46,21.24,20.95,21.34,21.74,123.64,122.6,123.39,21.89,22.31,124.31,75.79,61.59
240_60_8,21.82,21.28,122.96,21.78,21.81,21.84,21.33,21.33,21.2,122.4,122.94,123.18,21.71,21.72,124.55,75.5,60.61
240_60_9,21.27,21.77,122.85,21.88,21.25,21.43,21.49,21.4,21.19,123.34,123.55,122.91,21.72,22.05,123.27,74.92,60.7
240_60_10,21.64,21.57,123.7,21.05,21.31,21.66,21.33,21.26,21.06,123.41,123.76,123.16,21.69,22.99,123.39,74.98,61.56
average,21.56,21.38,124.44,21.5,21.5,21.51,21.31,21.28,21.25,124.25,124.35,124.43,22.06,22.09,124.85,76.21,61.59
