,SPS-FTA-SWP,SPS-SA-SWP,SPS-SS-SWP,FTA-INS,FTA-INB,FTA-INV,SA-INS,SA-INB,SA-INV,SS-INS,SS-INB,SS-INV,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
20_80_1,0.0221,0.023,0.0304,0.0218,0.0546,0.057,0.0289,0.056,0.0528,0.0405,0.0527,0.0468,0.03,0.0319,0.0409,0.0821,0.0629
20_80_2,0.0235,0.0214,0.0273,0.0242,0.0414,0.0399,0.0265,0.0379,0.0451,0.0346,0.0349,0.0368,0.0274,0.0273,0.033,0.0547,0.0482
20_80_3,0.0266,0.0324,0.0332,0.0333,0.0514,0.0514,0.0417,0.0529,0.0552,0.0478,0.0498,0.0505,0.0328,0.0342,0.0425,0.0871,0.0712
20_80_4,0.0218,0.0189,0.0232,0.0214,0.0344,0.047,0.0271,0.0364,0.0465,0.0345,0.0353,0.0392,0.0282,0.0294,0.0346,0.0435,0.0559
20_80_5,0.0193,0.0232,0.028,0.0303,0.0409,0.0504,0.0286,0.0478,0.0504,0.0384,0.0416,0.0434,0.0288,0.0293,0.0395,0.0875,0.0685
20_80_6,0.0224,0.0288,0.0245,0.0335,0.0479,0.0473,0.0354,0.05,0.0519,0.036,0.0454,0.0426,0.0273,0.0326,0.0395,0.0448,0.0553
20_80_7,0.0266,0.0217,0.0257,0.0298,0.0509,0.0487,0.0277,0.0534,0.0489,0.0351,0.0487,0.0435,0.0286,0.0295,0.0372,0.0492,0.063
20_80_8,0.0228,0.0226,0.0223,0.0218,0.0504,0.0425,0.0225,0.051,0.044,0.0335,0.0484,0.0401,0.024,0.0271,0.034,0.0837,0.0539
20_80_9,0.0343,0.0257,0.039,0.0357,0.0577,0.0642,0.0399,0.0559,0.0621,0.0489,0.0555,0.055,0.0398,0.0386,0.0507,0.0497,0.0639
20_80_10,0.0219,0.0224,0.0313,0.0181,0.0464,0.0558,0.0242,0.0481,0.0504,0.0441,0.0446,0.0458,0.0334,0.0308,0.0429,0.0785,0.0617
50_50_1,0.0189,0.0155,0.0172,0.0201,0.0306,0.0355,0.0218,0.0317,0.0368,0.0259,0.0255,0.0354,0.0278,0.0174,0.0215,0.0366,0.0373
50_50_2,0.0171,0.014,0.0168,0.0238,0.0357,0.041,0.023,0.0382,0.0332,0.0253,0.0321,0.0372,0.0238,0.0163,0.0247,0.0318,0.0468
50_50_3,0.0217,0.0163,0.0187,0.02,0.028,0.038,0.0213,0.0272,0.0351,0.0239,0.0239,0.0336,0.0233,0.0174,0.0211,0.0274,0.0379
50_50_4,0.0236,0.0203,0.0229,0.0254,0.0328,0.0369,0.024,0.0351,0.0401,0.03,0.0305,0.0376,0.0269,0.0261,0.0272,0.0269,0.0405
50_50_5,0.0195,0.0142,0.0143,0.0225,0.0352,0.0347,0.0239,0.0346,0.0335,0.0227,0.0333,0.0323,0.0237,0.021,0.0182,0.0234,0.0366
50_50_6,0.0177,0.0149,0.0151,0.0194,0.0231,0.0324,0.0204,0.0209,0.0275,0.0204,0.0176,0.026,0.0197,0.0129,0.0165,0.0181,0.0272
50_50_7,0.0255,0.024,0.0229,0.0283,0.0238,0.0413,0.0276,0.0247,0.0412,0.0287,0.0211,0.0297,0.0278,0.0214,0.0226,0.0311,0.0303
50_50_8,0.0203,0.0151,0.015,0.019,0.0336,0.0385,0.0197,0.035,0.0379,0.0242,0.0297,0.0347,0.0217,0.0169,0.0213,0.0282,0.0445
