,FTA-INS,FTA-INB,FTA-INV,FTA-SWP,FTA-ML,SA-INS,SA-INB,SA-INV,SA-SWP,SA-ML,SS-INS,SS-INB,SS-INV,SS-SWP,SS-ML,NEH,NEH-B
40_160_1,0.0491,0.0398,0.0538,0.0481,0.0507,0.0525,0.0377,0.0557,0.0476,0.0500,0.0607,0.0347,0.0579,0.0526,0.0462,0.0924,0.0857
40_160_2,0.0347,0.0342,0.0458,0.0336,0.0449,0.0405,0.0338,0.0480,0.0352,0.0379,0.0461,0.0326,0.0451,0.0379,0.0375,0.0962,0.0685
40_160_3,0.0371,0.0362,0.0461,0.0424,0.0371,0.0334,0.0367,0.0494,0.0302,0.0365,0.0508,0.0353,0.0466,0.0408,0.0411,0.0971,0.0604
40_160_4,0.0403,0.0345,0.0468,0.0412,0.0412,0.0370,0.0341,0.0442,0.0370,0.0359,0.0474,0.0350,0.0474,0.0392,0.0402,0.1030,0.0716
40_160_5,0.0764,0.0623,0.0762,0.0758,0.0683,0.0675,0.0594,0.0774,0.0709,0.0703,0.0798,0.0600,0.0754,0.0691,0.0703,0.1185,0.0972
40_160_6,0.0650,0.0474,0.0684,0.0570,0.0574,0.0573,0.0443,0.0697,0.0499,0.0518,0.0738,0.0419,0.0708,0.0611,0.0539,0.1197,0.0986
40_160_7,0.0700,0.0520,0.0828,0.0620,0.0680,0.0673,0.0526,0.0767,0.0635,0.0717,0.0775,0.0518,0.0810,0.0711,0.0633,0.1397,0.0990
40_160_8,0.0545,0.0344,0.0618,0.0502,0.0436,0.0486,0.0380,0.0598,0.0438,0.0491,0.0640,0.0381,0.0613,0.0553,0.0463,0.1244,0.0854
40_160_9,0.0438,0.0286,0.0489,0.0404,0.0445,0.0376,0.0263,0.0507,0.0387,0.0416,0.0524,0.0280,0.0514,0.0397,0.0372,0.1118,0.0730
40_160_10,0.0408,0.0365,0.0520,0.0407,0.0414,0.0460,0.0369,0.0529,0.0403,0.0393,0.0480,0.0350,0.0488,0.0410,0.0408,0.1003,0.0672
100_100_1,0.0367,0.0083,0.0334,0.0250,0.0196,0.0367,0.0078,0.0363,0.0246,0.0234,0.0255,0.0049,0.0251,0.0234,0.0140,0.0497,0.0328
100_100_2,0.0346,0.0087,0.0298,0.0227,0.0232,0.0337,0.0087,0.0286,0.0212,0.0204,0.0074,0.0050,0.0085,0.0078,0.0066,0.0192,0.0096
100_100_3,0.0343,0.0125,0.0369,0.0290,0.0286,0.0385,0.0130,0.0360,0.0253,0.0292,0.0346,0.0088,0.0314,0.0264,0.0173,0.0904,0.0376
100_100_4,0.0322,0.0087,0.0299,0.0198,0.0196,0.0303,0.0098,0.0284,0.0193,0.0189,0.0216,0.0068,0.0215,0.0201,0.0147,0.0417,0.0234
100_100_5,0.0330,0.0088,0.0320,0.0250,0.0212,0.0346,0.0083,0.0291,0.0206,0.0208,0.0188,0.0068,0.0186,0.0182,0.0132,0.0260,0.0240
100_100_6,0.0383,0.0129,0.0375,0.0263,0.0274,0.0349,0.0109,0.0351,0.0245,0.0241,0.0215,0.0065,0.0213,0.0215,0.0157,0.0412,0.0223
100_100_7,0.0371,0.0146,0.0336,0.0262,0.0242,0.0339,0.0124,0.0312,0.0238,0.0253,0.0156,0.0068,0.0154,0.0154,0.0122,0.0392,0.0154
100_100_8,0.0303,0.0087,0.0279,0.0182,0.0192,0.0262,0.0078,0.0251,0.0178,0.0170,0.0219,0.0045,0.0179,0.0155,0.0139,0.0469,0.0259
100_100_9,0.0349,0.0085,0.0332,0.0245,0.0201,0.0353,0.0070,0.0280,0.0216,0.0223,0.0199,0.0059,0.0200,0.0196,0.0137,0.0141,0.0226
100_100_10,0.0353,0.0098,0.0327,0.0261,0.0247,0.0343,0.0097,0.0331,0.0229,0.0253,0.0244,0.0070,0.0243,0.0219,0.0152,0.0527,0.0254
160_40_1,0.0282,0.0118,0.0281,0.0260,0.0220,0.0251,0.0094,0.0243,0.0230,0.0194,0.0246,0.0072,0.0248,0.0194,0.0128,0.0235,0.0292
160_40_2,0.0227,0.0093,0.0215,0.0190,0.0167,0.0215,0.0078,0.0206,0.0162,0.0141,0.0118,0.0062,0.0112,0.0116,0.0102,0.0131,0.0143
160_40_3,0.0286,0.0192,0.0253,0.0211,0.0217,0.0278,0.0183,0.0230,0.0220,0.0191,0.0230,0.0155,0.0231,0.0170,0.0198,0.0000,0.0263
160_40_4,0.0261,0.0144,0.0237,0.0205,0.0197,0.0219,0.0140,0.0253,0.0180,0.0161,0.0173,0.0110,0.0173,0.0161,0.0149,0.0182,0.0218
160_40_5,0.0220,0.0111,0.0218,0.0170,0.0152,0.0204,0.0109,0.0204,0.0147,0.0137,0.0150,0.0085,0.0140,0.0128,0.0120,0.0107,0.0190
160_40_6,0.0232,0.0133,0.0230,0.0192,0.0176,0.0216,0.0131,0.0207,0.0185,0.0146,0.0141,0.0109,0.0140,0.0135,0.0136,0.0000,0.0153
160_40_7,0.0254,0.0159,0.0247,0.0225,0.0211,0.0234,0.0159,0.0242,0.0220,0.0222,0.0135,0.0123,0.0139,0.0139,0.0135,0.0000,0.0161
160_40_8,0.0251,0.0174,0.0249,0.0214,0.0211,0.0247,0.0141,0.0263,0.0230,0.0217,0.0243,0.0125,0.0242,0.0207,0.0186,0.0193,0.0278
160_40_9,0.0233,0.0100,0.0245,0.0205,0.0182,0.0240,0.0083,0.0236,0.0185,0.0161,0.0135,0.0056,0.0139,0.0128,0.0103,0.0240,0.0148
160_40_10,0.0232,0.0120,0.0240,0.0183,0.0182,0.0227,0.0091,0.0208,0.0173,0.0156,0.0137,0.0075,0.0143,0.0143,0.0119,0.0014,0.0159
