,SPS-FTA-INB,SPS-SA-INB,SPS-SS-INB,FTA-INS,FTA-INV,FTA-SWP,SA-INS,SA-INV,SA-SWP,SS-INS,SS-INV,SS-SWP,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
80_320_1,0.032,0.0267,0.0392,0.0799,0.0829,0.0655,0.0744,0.0785,0.0646,0.0805,0.0645,0.0665,0.054,0.0473,0.0514,0.3132,0.0671
80_320_2,0.0284,0.0257,0.0321,0.0797,0.0814,0.0684,0.0759,0.0771,0.0688,0.0793,0.0691,0.0669,0.0535,0.0412,0.0489,0.1976,0.0727
80_320_3,0.0255,0.0273,0.0307,0.0875,0.0861,0.0724,0.0793,0.0857,0.0681,0.0883,0.0777,0.071,0.0493,0.051,0.0462,0.3268,0.0695
80_320_4,0.032,0.0245,0.0345,0.0779,0.0835,0.0678,0.0756,0.079,0.0616,0.087,0.0688,0.0653,0.0538,0.0457,0.046,0.3153,0.0739
80_320_5,0.0276,0.0286,0.0353,0.0764,0.0787,0.0627,0.0726,0.0752,0.0632,0.0815,0.0668,0.0644,0.0434,0.0452,0.0451,0.2907,0.0728
80_320_6,0.0219,0.0179,0.029,0.0723,0.074,0.0607,0.0731,0.0696,0.0598,0.0719,0.056,0.0563,0.0436,0.0356,0.0391,0.2702,0.0578
80_320_7,0.0231,0.0194,0.0263,0.0703,0.0674,0.0569,0.0716,0.0627,0.0526,0.0749,0.0598,0.0503,0.0352,0.0363,0.0383,0.295,0.0575
80_320_8,0.0369,0.0275,0.0321,0.0764,0.0799,0.0691,0.0745,0.0718,0.0616,0.0787,0.0655,0.0583,0.0458,0.0449,0.0419,0.299,0.0676
80_320_9,0.0262,0.0297,0.0366,0.0694,0.0804,0.0666,0.0696,0.0798,0.064,0.0823,0.0701,0.0613,0.0462,0.0448,0.0489,0.2764,0.0713
80_320_10,0.0232,0.0201,0.0271,0.0717,0.0699,0.0603,0.0624,0.07,0.0543,0.0776,0.0604,0.06,0.0443,0.0401,0.0393,0.291,0.0684
200_200_1,0.0184,0.0156,0.0153,0.055,0.0514,0.0398,0.0537,0.0521,0.0401,0.0396,0.0325,0.0358,0.029,0.0253,0.0258,0.0395,0.0436
200_200_2,0.0196,0.017,0.0165,0.0517,0.0471,0.0409,0.05,0.0462,0.0445,0.0284,0.0284,0.0279,0.0266,0.0282,0.0196,0.1085,0.0371
200_200_3,0.0229,0.0222,0.0195,0.0613,0.0547,0.0493,0.0624,0.055,0.0466,0.0402,0.0342,0.0383,0.0371,0.0312,0.0238,0.0861,0.0448
200_200_4,0.0209,0.019,0.0205,0.0616,0.0549,0.0504,0.0586,0.0555,0.0466,0.0407,0.037,0.0401,0.0328,0.0305,0.0291,0.1,0.0403
200_200_5,0.0236,0.0233,0.0216,0.0661,0.061,0.053,0.0646,0.0603,0.0488,0.0424,0.0391,0.0417,0.0355,0.0323,0.0318,0.0424,0.0407
200_200_6,0.0265,0.0229,0.0193,0.0684,0.0605,0.0509,0.0634,0.0594,0.0507,0.0399,0.0354,0.0373,0.0313,0.0352,0.0265,0.1106,0.0445
200_200_7,0.0156,0.0169,0.0156,0.0588,0.0523,0.0448,0.0598,0.0474,0.0435,0.0218,0.0217,0.0218,0.0277,0.0275,0.0195,0.0762,0.0338
200_200_8,0.017,0.0163,0.015,0.0572,0.0535,0.0446,0.055,0.0493,0.0436,0.0335,0.0297,0.0332,0.0276,0.0279,0.0184,0.0783,0.04
200_200_9,0.014,0.0146,0.0102,0.0544,0.0502,0.0409,0.0551,0.0478,0.0399,0.0327,0.0277,0.0318,0.0304,0.024,0.0227,0.0497,0.03
200_200_10,0.0259,0.0203,0.0262,0.0644,0.0572,0.0502,0.0638,0.0589,0.0486,0.0515,0.044,0.0494,0.0318,0.0316,0.033,0.0971,0.0532
320_80_1,0.018,0.0202,0.0134,0.0561,0.0453,0.0432,0.0571,0.0432,0.0406,0.0177,0.0176,0.0177,0.0345,0.0302,0.0153,0.0591,0.0177
320_80_2,0.0259,0.0223,0.0211,0.0642,0.0528,0.0477,0.0623,0.0527,0.0495,0.0283,0.0283,0.0281,0.0403,0.0352,0.0235,0,0.026
320_80_3,0.0174,0.0159,0.0086,0.0558,0.0456,0.0398,0.0539,0.0431,0.0384,0.0176,0.0173,0.0175,0.0286,0.0286,0.0143,0.0836,0.0147
320_80_4,0.0211,0.0223,0.0175,0.0621,0.0496,0.046,0.064,0.0469,0.048,0.0238,0.0238,0.0238,0.0392,0.0335,0.0231,0.0869,0.0241
320_80_5,0.0183,0.0185,0.0115,0.0603,0.0462,0.0447,0.0542,0.0441,0.0415,0.0202,0.0203,0.0202,0.0303,0.0286,0.0164,0.0739,0.0214
320_80_6,0.0149,0.0123,0.0148,0.0608,0.0451,0.0405,0.0534,0.0451,0.0375,0.0231,0.0231,0.0226,0.028,0.0291,0.0195,0.0725,0.025
320_80_7,0.0181,0.0148,0.0143,0.0567,0.0416,0.0394,0.0563,0.0418,0.0336,0.0212,0.0226,0.0195,0.0313,0.0296,0.0158,0.0761,0.0225
