,MIP,SPS-FTA-SWP,SPS-SA-SWP,SPS-SS-SWP,FTA-INS,FTA-INB,FTA-INV,SA-INS,SA-INB,SA-INV,SS-INS,SS-INB,SS-INV,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
1_1_1,0,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173
1_1_2,0,0.0944,0.0944,0.0944,0.0944,0.0944,0.0946,0.0944,0.0944,0.0945,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944,0.0944
1_1_3,0,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
1_1_4,0,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109
1_1_5,0,0.0345,0.0345,0.0345,0.0345,0.0345,0.0346,0.0345,0.0345,0.0347,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345
2_2_1,0,0.0668,0.0676,0.0515,0.0421,0.0848,0.0671,0.0421,0.0816,0.0704,0.0421,0.1039,0.079,0.0555,0.0551,0.0433,0.1024,0.1039
2_2_2,0,0.0438,0.0452,0.0421,0.0414,0.0656,0.0613,0.0414,0.0676,0.0652,0.0414,0.0778,0.0507,0.0421,0.0441,0.0417,0.0486,0.0778
2_2_3,0,0.0518,0.0518,0.0518,0.0519,0.0519,0.1194,0.0519,0.0518,0.1215,0.0518,0.0518,0.0518,0.0519,0.0518,0.0518,0.0518,0.0518
2_2_4,0,0.0138,0.0138,0.0138,0.0139,0.0139,0.0845,0.0139,0.0138,0.0613,0.0138,0.0138,0.0138,0.0138,0.0139,0.0138,0.0138,0.0138
2_2_5,0,0.0785,0.0832,0.0822,0.0785,0.096,0.0956,0.0785,0.0967,0.0951,0.0785,0.1013,0.0901,0.0793,0.079,0.0785,0.1013,0.1013
3_3_1,0,0.0512,0.0553,0.047,0.0471,0.0631,0.0989,0.0475,0.0611,0.0862,0.0472,0.0476,0.0472,0.0471,0.0471,0.0471,0.0618,0.0491
3_3_2,0,0.0395,0.0436,0.0395,0.0395,0.055,0.0821,0.0395,0.0527,0.071,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0615,0.0396
3_3_3,0,0.0537,0.0567,0.0464,0.0444,0.0963,0.1234,0.0444,0.0936,0.1288,0.0444,0.0574,0.0589,0.0454,0.0474,0.0474,0.222,0.0631
3_3_4,0,0.0469,0.0521,0.0452,0.0452,0.0713,0.1089,0.0456,0.0748,0.0891,0.0453,0.049,0.0452,0.0452,0.0488,0.0452,0.1018,0.0512
3_3_5,0,0.0392,0.0396,0.0348,0.0363,0.0482,0.0808,0.0409,0.0458,0.0902,0.0343,0.0345,0.0343,0.036,0.0377,0.0343,0.0409,0.0356
4_4_1,0.0077,0.0053,0.0055,0.0015,0.0013,0.0297,0.0135,0.0035,0.0304,0.0146,0.0001,0.0084,0.0037,0.0004,0.0036,0.0001,0.0095,0.0698
4_4_2,0,0.004,0.0103,0.001,0.0007,0.0469,0.0154,0.0046,0.0392,0.0296,0.0008,0.002,0.0015,0.0008,0.0052,0.0007,0.122,0.0533
4_4_3,0.005,0.0035,0.0064,0.0006,0,0.0198,0.0089,0.0006,0.0136,0.0124,0,0.0037,0.0037,0,0.0004,0,0.03,0.0346
4_4_4,0.0047,0.0154,0.0196,0.0018,0.0002,0.0418,0.0262,0.0088,0.044,0.013,0.0011,0.0174,0.0128,0.0022,0.0053,0,0.0618,0.069
4_4_5,0.0011,0.0312,0.0222,0.0025,0.001,0.0696,0.0246,0.0124,0.0761,0.0332,0.0025,0.0317,0.0131,0.0015,0.0109,0,0.1304,0.105
